arrow,x0,y0,x1,y1
0,1185.177601,300.6492496,1214.871044,255.0336079
30,1180.377005,299.6632863,1216.15759,260.8527913
60,1182.745459,294.2328697,1215.142023,263.7902867
90,1179.03578,300.5724347,1212.141444,263.289363
120,1191.431307,302.026206,1207.655875,265.4776622
150,1194.839188,298.6629236,1208.231805,260.6019278
180,1187.12796,304.6587655,1216.130515,259.5991657
210,1180.379007,301.4319596,1216.374892,261.461889
240,1201.836211,311.8095945,1206.344794,265.0774167
270,1180.790758,298.1304088,1211.216394,267.8737963
300,1195.647693,311.9608759,1212.117274,267.1840675
330,1190.995643,303.3410428,1212.697918,265.7075616
360,1195.839175,312.8045085,1210.977902,265.3401551
390,1194.962994,313.4932227,1203.98421,268.483173
420,1197.828407,313.817126,1203.870139,268.9996493
450,1194.040161,321.2584757,1205.83104,265.6769047
480,1202.096755,314.5374517,1202.883108,265.0106948
510,1196.434753,311.0395404,1197.51905,275.2577823
540,1188.862139,305.9036952,1195.691529,272.9580082
570,1174.901587,302.6440852,1206.192439,267.7798381
600,1203.41983,311.2907466,1199.453242,264.2329834
630,1209.091308,327.0453605,1203.925134,263.4905442
660,1208.931006,334.2732357,1200.584813,264.1311057
690,1213.652747,336.399987,1197.599914,277.5066533
720,1220.43984,346.8869737,1194.398541,273.2062654
750,1221.837875,346.9011123,1200.773485,277.5647593
780,1226.606404,350.6611992,1200.975546,280.9718999
810,1222.767172,351.1029485,1195.103813,272.1702034
840,1224.232184,362.4237516,1199.289782,273.0320098
870,1230.563095,356.6892892,1201.17427,275.4651608
900,1224.534626,364.1980337,1209.359446,291.2836959
930,1234.866227,358.4808879,1217.686488,294.7024771
960,1224.449027,359.8937111,1218.15024,287.3714241
990,1237.670007,364.0303178,1219.173978,299.0789061
1020,1234.32064,363.3163045,1221.762127,306.1637078
1050,1247.270339,363.2083615,1219.80546,302.0508026
1080,1256.503985,355.5538704,1221.539812,305.4748051
1110,1244.863654,368.8063731,1216.516205,306.7868057
1140,1276.926303,335.8520368,1215.223368,305.5599758
1170,1278.258527,339.5808459,1216.962952,306.7093636
1200,1280.549996,346.909092,1218.139844,309.6798071
1230,1263.196488,361.6447914,1223.586638,311.3326548
1260,1289.897039,347.513778,1220.430257,309.1871659
1290,1295.021368,341.0315246,1223.244304,322.812865
1320,1300.374864,335.5765785,1222.430074,310.2397536
1350,1314.255074,331.6769031,1235.579824,330.0775474
1380,1326.657778,324.39626,1223.123575,332.310608
1410,1319.446627,335.6247999,1227.227266,342.9895074
1440,1329.048344,334.5430103,1208.894958,327.4113774
1470,1328.163805,345.6727054,1202.782598,335.0029468
1500,1330.38986,341.9570983,1201.875399,338.2077874
1530,1333.746725,333.9116071,1189.309679,324.1325588
1560,1343.416117,312.9148414,1206.842091,353.9838618
1590,1345.740412,312.5517814,1183.290098,346.8062515
1620,1352.169704,319.6337308,1195.92886,346.7108726
1650,1361.122378,315.4427377,1184.350591,344.1533677
1680,1356.126123,305.4191212,1173.512741,340.6101623
1710,1356.455749,298.3791892,1169.101437,346.0996405
1740,1350.230289,287.7286669,1177.53392,363.3057425
1770,1355.167996,285.0724796,1166.564526,356.3215015
1800,1373.838097,304.9417456,1176.696453,371.5875892
1830,1372.099478,298.5406779,1167.80689,362.0616037
1860,1366.976785,289.4548564,1156.611998,357.7435471
1890,1393.805387,273.5230783,1154.339952,361.5421837
1920,1429.092368,293.5884655,1172.198653,358.5021233
1950,1427.192851,287.1969536,1163.662976,374.1427516
1980,1429.31962,287.2842689,1166.869281,379.6994154
2010,1429.105858,287.5079539,1159.866426,371.4931288
2040,1426.976075,288.4521826,1157.431116,370.5964808
2070,1425.705025,288.3567872,1157.526798,370.4622121
2100,1427.550723,288.6251167,1158.078952,369.8842235
2130,1426.248684,288.4306122,1150.830719,371.3351258
2160,1425.457821,289.9021658,1134.941182,358.3139195
2190,1414.452832,307.7972571,1173.460524,384.6092219
2220,1410.590007,317.5787668,1155.634571,385.1794288
2250,1414.487997,314.888489,1172.055549,385.4757933
2280,1412.956694,292.4190024,1155.571121,379.8885964
2310,1400.458868,287.496489,1159.637436,382.7392444
