arrow,x0,y0,x1,y1
0,1125.402032,362.432196,1205.971567,344.4468045
30,1125.479802,360.9602226,1218.924867,350.8717265
60,1138.445472,363.7540354,1187.267474,351.7490732
90,1141.67196,382.1264196,1184.5181,353.4592592
120,1132.107761,374.6813673,1184.220871,352.7048614
150,1132.731556,372.4407919,1185.08281,355.8534252
180,1124.806113,367.1211798,1185.202302,356.7886239
210,1124.800078,370.8332121,1178.394822,356.6009586
240,1159.988395,388.0287701,1165.34364,362.150063
270,1142.402007,375.6271189,1177.129556,352.6079592
300,1149.87193,385.8982194,1182.891059,351.3267779
330,1154.279182,376.846922,1183.315538,351.9675639
360,1154.380494,384.8290429,1184.596772,352.1298914
390,1141.58532,377.2432538,1186.269543,357.0463835
420,1158.991072,385.1839028,1180.717719,356.513001
450,1148.555242,386.7487911,1172.231801,367.3148102
480,1144.27185,384.1861577,1179.066622,356.3293483
510,1133.715267,378.4708729,1182.889086,358.5915173
540,1135.784968,380.3796643,1176.599883,369.9325059
570,1156.793915,396.4132567,1166.767192,375.2500982
600,1135.029391,374.67064,1177.035727,378.7245375
630,1131.063079,372.6379557,1176.445147,379.2957253
660,1125.782167,366.7451477,1166.333576,379.8973566
690,1132.096406,365.5541006,1180.075737,376.7403107
720,1140.640846,378.808836,1167.624096,378.5367535
750,1145.336414,368.0208554,1178.498255,381.5169123
780,1128.181578,365.3634796,1177.688566,374.3377735
810,1123.668967,369.7552303,1168.494636,375.0754855
840,1128.936976,368.2225414,1185.091767,365.994844
870,1120.64774,367.9672283,1203.388974,346.597451
900,1133.560337,379.1695492,1208.915539,339.482746
930,1133.334175,381.520515,1209.923564,336.0842626
960,1140.280908,388.8733725,1200.654888,343.937575
990,1125.533402,365.4793461,1170.903549,364.6824038
1020,1137.341539,383.5547216,1182.78681,362.2424001
1050,1141.801334,392.592327,1198.167905,344.8257049
1080,1133.217804,378.3234675,1201.621982,345.2750633
1110,1141.373,395.132142,1211.103839,333.4398172
1140,1138.742187,389.9076988,1209.646365,335.6251454
1170,1135.583532,390.5754286,1206.02029,340.1149486
1200,1140.714232,392.859862,1206.766045,339.6436346
1230,1158.507621,410.124291,1197.450486,344.1194158
1260,1137.76764,392.2408806,1200.450852,344.3356959
1290,1153.414524,396.2899167,1188.729111,353.019819
1320,1150.920438,389.041634,1163.061498,372.549126
1350,1131.812119,372.9662184,1162.31567,371.6584894
1380,1135.831974,372.3965353,1169.758073,372.8307843
1410,1125.044439,370.8825916,1160.784762,375.5248696
1440,1131.993163,382.0550918,1166.762479,373.880975
1470,1134.855502,381.6638465,1190.411092,342.9312301
1500,1134.721996,383.6688579,1198.140989,344.1772069
1530,1147.647168,402.56487,1208.173181,331.7135152
1560,1146.635738,401.3789177,1181.714446,356.0423736
1590,1140.926811,397.3720382,1178.832819,357.2696052
1620,1131.272966,381.083202,1207.258742,334.8837663
1650,1138.103269,381.9414971,1189.480208,345.7281806
1680,1138.143677,382.4422724,1165.750821,368.2612044
1710,1142.442319,393.6828604,1176.583333,363.0609377
1740,1135.531392,380.9980011,1177.795512,360.867283
1770,1139.498554,386.4417245,1162.112007,377.4086335
1800,1130.15239,388.0074262,1182.335797,353.4771477
1830,1130.091306,377.8021525,1163.248766,366.3149654
1860,1147.240037,394.0694128,1161.842804,377.7056122
1890,1139.988139,393.3337484,1168.552987,370.1565792
1920,1132.490643,388.5374582,1163.926502,367.0825366
1950,1145.295931,394.8021187,1179.895146,364.2109047
1980,1126.838171,383.2994658,1171.205631,365.4550603
2010,1130.008263,379.7792395,1154.163886,375.2651773
2040,1138.960283,386.3578598,1153.388252,383.6199552
2070,1138.317305,386.8682089,1155.619674,380.0701257
2100,1144.680186,391.6185273,1147.001285,390.4217116
2130,1139.692609,381.7067196,1147.7294,383.0394421
2160,1137.261215,382.9356985,1149.947995,381.6325727
2190,1126.178606,372.7147755,1166.61792,369.9650874
