arrow,x0,y0,x1,y1
0,768.8491973,461.3083893,815.1975423,369.9305166
30,740.8444789,438.5893674,719.8871075,393.6635484
60,747.6393801,439.9640304,713.3812885,389.3883199
90,758.3128035,429.4951631,716.8264347,388.1243899
120,750.644067,439.9959083,723.6102241,384.8255079
150,744.9324649,437.220546,720.1618754,387.3207375
180,736.960354,451.39732,734.6798334,384.4194562
210,724.725108,454.1123186,741.4396845,391.6100317
240,733.8490581,443.317715,748.0546171,393.0925188
270,730.0195943,460.9407004,746.8528383,396.8441677
300,723.2697741,465.8784272,758.3233059,383.9974957
330,730.0147226,460.1396258,758.1462139,384.6820058
360,727.128726,467.2417523,759.8764949,383.2138978
390,730.317338,465.4719774,762.3037995,386.7403572
420,730.225851,457.2643876,758.0281253,382.6673513
450,725.6057894,460.2753764,763.6642977,383.4557728
480,725.2903288,464.7004242,763.0944541,385.0580417
510,728.038904,466.6529581,756.4783078,384.0122403
540,735.1895066,460.1303534,756.5104539,384.4587571
570,750.429074,445.695202,756.729239,384.2729142
600,760.2179095,444.1828368,736.0408173,375.9891608
630,750.5407499,437.5322021,767.5611532,390.237403
660,757.3857772,441.706828,756.345707,391.2645802
690,752.3602406,459.9411606,750.4609792,383.4624323
720,746.9343038,447.0628315,757.6795065,393.4496246
750,754.842094,438.6558282,765.7364572,389.0134569
780,732.0458029,467.3561777,772.078249,389.9388029
810,749.1631938,448.0202185,752.6338612,395.7921529
840,756.9105851,444.2523996,779.6562657,391.0360341
870,750.2423479,445.9488562,756.6232713,397.1748257
900,717.6412019,475.7900123,731.1675187,419.3740346
930,733.3282582,469.7157301,763.2025584,393.7059709
960,733.0225298,468.4232173,764.2612241,394.2240355
990,741.5432511,452.0615264,773.0376265,392.4092981
1020,720.7847343,465.7862376,735.4077297,400.0092897
1050,721.4841252,473.9864507,758.5023412,398.0445091
1080,726.1750578,470.8511755,755.6768011,394.2105056
1110,718.3306273,475.3328594,740.9138909,391.1416326
1140,729.9409763,476.4124551,760.8507213,397.0154807
1170,716.2927849,472.4752022,752.1683659,385.2172918
1200,723.1364881,483.1762529,753.0074229,384.8636146
1230,720.9656313,471.894543,762.4412721,387.7408203
1260,718.7818999,452.8136798,762.8626409,381.5389793
1290,721.1440729,473.5373843,760.0873634,385.9961402
1320,723.8298915,474.7914386,752.973438,386.1491133
1350,716.9190079,468.733761,756.4513645,385.2695864
1380,717.4064076,468.338708,740.1690233,377.0125662
1410,720.6116719,481.5941464,750.5367783,368.8591973
1440,730.600103,476.4195983,734.3485421,372.4828594
1470,736.3155855,460.5140306,750.7051095,389.3930338
1500,719.9663684,464.5794364,734.1097272,374.5015217
1530,722.2505635,478.9885301,750.3490262,379.5600345
1560,722.0863792,474.1170145,739.8175358,374.7258568
1590,721.5101464,464.3475718,747.4493026,386.5038351
1620,732.0718144,463.6117745,745.5561981,376.9776442
1650,716.5917617,457.5174565,737.7691881,383.1206253
1680,720.1264304,468.5788994,740.8595545,379.9019502
1710,722.4467652,473.1667662,743.3841361,382.0779682
1740,736.256559,464.1915887,746.4556803,389.4869616
1770,720.0001891,474.7840717,742.5077506,387.6551032
1800,720.2716601,458.9440493,760.3196552,391.8702271
1830,725.6259906,475.4624292,759.7022394,392.8938784
1860,724.4427124,473.4615319,760.448058,390.993034
1890,716.951724,470.8688905,757.9160712,379.9948907
1920,715.754994,475.1131698,745.7726673,394.0927943
1950,716.0969464,477.8809227,767.6999582,389.306559
1980,713.1076212,472.3033105,752.3176879,385.6786507
2010,714.0332595,471.6531037,768.1107856,391.4626752
2040,715.4089939,460.5189201,766.1606547,389.176821
2070,713.9093166,475.7205655,762.5262241,389.1873755
2100,713.9195892,469.6043369,757.6808101,383.8631199
2130,719.0164743,479.6225794,762.486108,392.6599155
2160,714.2625619,478.0401058,772.7767137,391.2062858
2190,706.2285083,476.8417942,766.2072367,389.8083276
2220,701.6142592,452.9599546,774.0751831,390.1225782
2250,712.6684429,483.6147088,779.431239,390.945628
2280,701.3604098,463.5929008,777.1790833,390.0592319
2310,691.818285,451.1406107,768.1445602,390.3261668
2340,693.1760541,470.1084126,766.0270802,392.0779077
2370,692.3897259,449.9182944,756.5323053,394.9684645
2400,675.5200783,436.7785108,738.5690229,387.3227334
2430,676.8623821,435.7226124,744.3314261,370.3533917
2460,680.3342271,434.702674,745.5098057,372.6857568
2490,680.0344675,434.9345624,731.0091873,369.0772407
2520,678.6496706,449.2959862,736.143869,371.2396949
2550,683.7719556,454.4062063,735.073108,367.9236451
2580,669.4414669,436.1995752,722.4309864,362.644889
2610,680.6329102,454.665275,738.6869382,369.5355437
2640,689.1809035,440.2535982,758.6208979,383.3409247
2670,678.9225496,438.8320491,753.5190158,382.0492458
2700,685.0495982,445.8702295,743.6392781,382.6334725
2730,684.823721,437.0876699,732.5860319,359.7657444
2760,689.5307697,453.0731542,750.0919309,372.3645515
2790,667.3034946,433.6414094,758.7301392,390.888295
2820,673.1749251,433.2477043,759.8929127,398.3835004
2850,672.0378917,438.0183351,764.3844177,391.5468572
2880,670.1773694,429.2308951,763.9093684,392.2760566
2910,679.5193731,444.9108161,770.3630048,388.6141383
2940,673.8916139,432.7713984,768.6091801,390.0780164
2970,678.5371076,424.2891173,760.1002506,391.7017572
3000,671.5686223,420.4476988,771.7870995,390.8409923
3030,673.9168895,422.5687099,776.383283,389.6467596
3060,675.4376663,427.6943524,767.4805601,390.7806711
3090,675.7824067,428.4030459,767.2101467,390.0978866
3120,675.8323934,428.9673197,774.2649244,391.2364964
3150,677.0132603,428.8235558,765.4989099,396.2013137
3180,673.3015362,429.7176991,768.1353347,391.9894308
3210,687.0201479,447.8509664,777.1590223,389.7814465
3240,695.7093014,449.8604937,760.7771381,388.5376402
3270,672.5787096,435.9131405,769.3415844,389.5506441
3300,660.7329875,431.1619889,761.6861568,395.0755257
3330,660.4716918,428.4693476,762.2767435,393.5099532
3360,668.7075916,438.3379131,778.1006188,392.2987321
3390,666.6475305,431.5775811,769.5269199,389.487619
3420,673.1109235,447.7222629,763.5336575,393.574803
3450,660.8876709,420.9944192,771.2026187,392.872986
3480,666.4621626,428.0545655,762.2941122,393.263212
3510,664.5877667,418.0026894,757.5843262,401.2807601
3540,666.1036715,419.3377915,760.7731667,396.3249612
3570,667.2801889,414.8814263,759.4455426,395.9727879
3600,657.3090738,421.0007099,757.5448296,396.3640356
3630,660.4065207,420.1693279,755.0318453,396.287907
3660,664.6262374,407.0992472,754.1107961,397.3854251
3690,672.2248005,402.4368592,757.2544162,397.1835325
3720,658.191582,409.1752059,761.0864045,393.274009
3750,668.0253649,411.9194032,770.6254613,391.3345759
3780,674.0761909,401.2472827,773.2295867,389.4250889
3810,671.0215661,407.7835518,774.5816113,389.6945034
3840,668.4485805,408.4148935,777.7607389,391.4690297
3870,666.8673684,409.9830687,756.8044753,394.7666718
3900,666.0097421,410.5437972,744.5146655,406.4810243
3930,665.5116097,411.5993141,754.3696701,397.5018675
3960,663.0881953,412.2565925,744.1319521,380.8075762
3990,661.7815326,412.3715487,742.3259256,375.6874578
4020,658.5168259,413.4955024,759.7910825,388.887578
4050,658.2617938,416.9231798,758.5283006,390.3454137
4080,660.8303337,419.3818848,749.3936274,394.4193021
4110,670.1454937,395.9791778,760.6047598,388.2564398
4140,657.7590832,413.5315024,729.7891332,381.3586861
4170,673.8167965,403.0936657,747.9180145,383.9853987
4200,663.7627451,421.6120728,755.1468991,391.3400156
4230,666.4401452,410.4690575,741.8126902,378.6822397
4260,666.8278715,413.0891325,737.4280135,377.1801212
4290,648.1521013,422.0556632,737.8937983,366.3223839
4320,673.0990475,410.6911939,738.7309889,373.4032679
4350,671.9680277,406.4661144,745.1436447,384.195049
4380,667.9393592,415.0132315,749.7018401,396.9031713
4410,680.381169,407.740312,755.1773483,394.4365711
4440,666.2734965,414.0035554,731.5563882,384.1603356
4470,661.3716864,418.3213096,739.6511095,388.5481741
4500,677.8010684,406.7761664,742.414758,389.4503432
4530,676.9569945,400.7437076,752.6797569,387.125977
4560,671.5470633,409.1149968,747.8828169,387.4705316
4590,672.5385622,412.6179353,749.9357822,385.8529167
4620,668.7316945,411.3256049,740.6879441,380.6947605
4650,667.7444836,414.0958012,754.3299431,388.2367891
4680,686.3718027,392.8038162,754.6625363,392.9851806
4710,701.935151,371.4541018,757.7023497,392.046287
4740,685.2271972,393.0045198,755.8292345,396.0821154
4770,694.4347256,402.9789136,755.6963864,394.5597202
4800,689.2360499,394.9105789,752.8216532,397.510364
4830,682.8052127,406.5493031,757.1240997,395.2097226
4860,695.6472909,402.6618664,759.747493,391.2745808
