,name,width,height,length,fps,frame,scale,bodyLength0,bodyLength1
0,210528_cf-fm-01-2_cut_trim_ds,234,164,455,5,190,0,51.915797210483056,50.284192347098504
1,210528_cf-fm-01-3_cut_trim_ds,302,222,5765,5,160,0,45.79301256742124,42.99418565341132
2,210607_cf-fm-02_cut_trim_ds,244,194,520,5,20,0,48.130032204435516,46.61544808322666
3,210607_cf-fm-05_cut_trim_ds,312,290,3382,5,30,0,47.02393007820593,45.69463863518345
4,210607_cf-fm-06_cut_trim_ds,232,254,1074,5,20,0,48.58497710198081,49.063734060913056
5,210607_cf-fm-08_cut_trim_ds,246,230,1039,5,20,0,48.303726564313855,49.24428900898052
6,210607_cf-fm-09_cut_trim_ds,272,224,175,5,0,0,48.386465049639654,48.023431780746364
