scorer,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,93.16228485107422,95.39933776855469,0.9999998807907104,89.20425415039062,93.86994934082031,0.9999997615814209,59.57251739501953,76.47966003417969,0.9999997019767761,55.578857421875,72.79573059082031,0.9999994039535522,52.27397918701172,70.74243927001953,0.9999995231628418,20.446916580200195,60.94465637207031,0.9999986886978149
1,93.1559771879253,95.39565402349767,0.9999997615814209,89.19383691910717,93.86650028108353,0.9999998807907104,59.56991844740747,76.47552125533497,0.9999995231628418,55.49969054909828,72.78174675112575,0.9999988079071045,52.26533625940299,70.67257194584047,0.9999991655349731,20.444313803583547,60.939029621933024,0.9999946355819702
2,95.19621981785971,93.85751451026795,0.9999998807907104,90.85959844645684,92.79956769643266,0.9999998807907104,60.340493760284446,76.84840549328348,0.9999995827674866,56.8189574192039,73.0772324246089,0.9999988675117493,54.22417277721957,71.10382155019039,0.9999992251396179,21.688281757344967,61.137544460209455,0.9999873638153076
3,95.64341580800719,91.13665835653813,1.0,91.40450471770322,91.97678507516326,0.9999998807907104,61.18540102065033,77.13229708374274,0.9999998211860657,57.44913927018558,73.98997565879658,0.9999997615814209,53.80452136198725,72.46415560926043,0.9999997019767761,23.189755074211426,61.069051924539316,0.9999990463256836
4,100.21334857267013,95.59801266026916,0.9999998807907104,96.43314943758145,94.62287966201279,1.0,64.46119646312425,79.11660055061691,0.9999998807907104,60.384134268527,75.3411704875638,0.9999994039535522,57.39826511236331,73.06289142398842,0.9999997615814209,27.244753081443054,63.58054380658673,0.9999997615814209
5,102.1749497014794,94.3787569055001,0.9999998211860657,99.0438730414173,93.2968969166249,1.0,65.98316822508636,79.6843763339895,0.9999997615814209,60.51115123635715,76.7295168992254,0.9999997615814209,57.15643967179048,74.99658434191286,1.0,29.055015552098403,66.39732473947105,1.0
6,105.06591751848337,89.74268421701736,0.9999995827674866,101.76275130893343,89.94141856467913,1.0,69.17731709753856,79.59971096065368,0.9999995231628418,61.90825408793209,77.25451821824555,0.9999995827674866,58.50064541932211,75.64598963510716,0.9999998807907104,31.38403449145224,66.15270024037429,1.0
7,104.60865635053032,92.91801532885884,1.0,101.57866101982266,92.48501868254263,0.9999998807907104,72.10994123262809,80.87949200632426,0.9999998211860657,64.7152110794095,78.86371291753142,0.9999996423721313,62.0230377106695,76.99069359632009,0.9999994039535522,35.22822413076732,65.28532092139508,1.0
8,108.01888439899211,92.28358679818398,1.0,105.32368851226377,91.69620972959576,1.0,73.78883877990523,81.91085512808218,0.9999998807907104,65.33018433586562,79.11842067606172,1.0,61.73515432415414,77.62633839990212,0.9999997019767761,36.86461896396431,66.73292350260068,1.0
9,109.88757559506688,95.70967909582976,1.0,106.89182100641409,94.48298817902469,1.0,72.65946711347416,82.64299040657338,0.9999998211860657,65.59993834574453,80.32544656061556,1.0,61.9608377337698,78.41755965266998,0.9999995827674866,37.49622771238298,66.53396816361459,1.0
10,108.39205291408467,94.98768457384374,1.0,105.82013042267846,93.76994002691819,1.0,72.50207856410151,83.31278063449045,0.9999997615814209,66.18285161005292,80.43065518667005,0.9999998807907104,62.89883117080761,79.98568068193967,0.9999980926513672,37.27474723872389,66.37480298936349,1.0
11,109.96040666940306,97.26433867308052,1.0,107.36739319320843,96.00973629141254,0.9999998807907104,73.36297584012279,84.31868910935626,0.9999998807907104,66.49248789892883,81.41701447968678,1.0,63.24580622496122,81.23938924905333,0.9999997615814209,37.60685738880143,66.77207066478742,1.0
12,108.90463851013469,95.9810958559705,0.9999998807907104,105.88502187006188,94.60545525151055,1.0,73.39835295917764,84.77395686190451,0.9999998807907104,66.86091307513854,81.64658135560329,1.0,64.11414743902611,79.99386563879837,0.9999996423721313,38.58623175066131,66.0872872854043,0.9999999403953552
13,110.47126932434148,92.9931134429493,0.9999998807907104,107.38773406925344,92.95105582059485,1.0,74.68558515196683,83.59051807128213,1.0,67.37393597841316,80.64247306304497,0.9999996423721313,64.18758052506894,78.85195788562827,0.9999998807907104,39.137739064526066,65.51799431825202,0.9999999403953552
14,110.47101999361682,93.41351370657623,1.0,107.65751917303945,93.02845049039739,1.0,77.35065413292628,83.69925182469828,0.9999999403953552,70.58325408917344,80.08728701585562,0.9999988079071045,67.90293686457372,78.29246319945274,0.9999998807907104,41.40281574443866,67.11146468330087,1.0
15,110.54385295455872,94.4173301968378,1.0,107.26270907900538,93.42810264076275,1.0,76.62253652242771,83.25372389063972,0.9999998807907104,71.3512861933736,79.50535432198562,0.9999997615814209,68.00752713984681,78.57544958284083,0.9999998807907104,42.262722943844196,67.74306627899189,0.9999999403953552
16,111.85424649037672,96.69908379525612,1.0,108.76420486938619,94.71437992431768,1.0,77.52439128980711,82.96305173896498,0.9999998211860657,73.74612569880124,77.74354424071457,0.9999997615814209,70.21963198553729,76.02597981257551,0.9999998211860657,43.05047323818812,68.77426971678263,0.9999998807907104
17,112.22676572680236,97.41373357871674,1.0,109.03926495675506,95.47331297800523,0.9999998807907104,78.09853215915994,82.59236155916686,0.9999998807907104,75.66676684293142,76.8266873704265,0.9999998807907104,72.70079656708391,75.63076252570171,0.9999998211860657,44.154792269182266,69.13803579877793,0.9999998807907104
18,114.04927069769347,97.89737649946025,1.0,111.18734607288202,95.92715990597864,1.0,78.50687737587812,82.67898068502339,1.0,75.56412355252034,76.89487009354059,0.9999998807907104,72.41307174397917,75.49538669939835,0.9999999403953552,44.297796121293686,69.4353738830738,0.9999998807907104
19,113.8733156123939,99.74932555233384,1.0,111.40661475064381,98.18123571935291,1.0,79.87602192319834,81.98908229842698,0.9999998807907104,77.05508267340018,75.8497369550811,0.9999999403953552,74.01384540512086,74.20323478059998,0.9999998807907104,45.81783632300431,68.99913700360256,0.9999999403953552
20,113.61968797567653,100.60909371389761,1.0,110.0539094637837,99.68036217819316,1.0,81.05484079017107,82.61249507463299,1.0,79.17714929291571,77.33250728271139,1.0,75.88850159474742,74.71460667049095,0.9999998807907104,48.71952939786559,68.13223986041153,1.0
21,114.52596228692167,100.45416044468129,1.0,110.64084027463248,99.87969060481576,1.0,81.9647457501311,82.89738379280377,0.9999999403953552,80.45871160099685,77.92098804987405,1.0,76.71142338330169,75.33551673724538,1.0,50.47044978414345,68.52239930650042,1.0
22,108.9814495763458,105.43883649448196,1.0,106.25797422236717,103.36013747631452,1.0,80.23691432031885,82.093994892157,0.9999995231628418,81.33106787251123,77.218258931863,1.0,77.39241207686065,74.68256923223498,1.0,51.69171808515329,69.00709106054761,0.9999997615814209
23,110.36411698592308,103.31016464492033,1.0,106.38505175541654,101.7315245174782,1.0,79.55196545145517,82.38274265708942,0.9999997615814209,85.94394082433791,77.34667983055783,0.9999999403953552,83.818891659872,76.26629958116445,1.0,55.73617763310648,68.34722714671187,0.9999994039535522
24,111.49635579613879,100.95264714444117,1.0,107.24480530930049,99.1327662742691,1.0,80.37483862556532,81.68061877759344,0.9999995827674866,83.83242567336197,77.65668262376933,0.9999997615814209,81.07969991546493,75.77955617875793,0.9999998807907104,56.15299728344653,65.80493889299106,0.9999992847442627
25,111.99620066759786,101.50518909675804,1.0,107.95916664411382,99.54280482544863,1.0,80.16687153848987,81.50230844343413,0.9999998807907104,84.65171716613,77.19916125096374,0.9999986290931702,82.47111520076982,75.27093570649873,0.9999997615814209,57.444765467764796,66.88145641459518,0.9999995231628418
26,113.79232269546277,100.90042680202964,1.0,109.88342673612792,98.92644346381788,0.9999999403953552,80.97452390970395,82.2892474068378,0.9999998807907104,85.57651389526528,76.90800499007634,0.9999982714653015,83.33560871415041,74.8596275132114,0.9999998211860657,59.154504322809885,67.0361827567944,0.9999997615814209
27,115.82635468168688,99.3913334859787,1.0,111.659055765665,98.74192540616308,0.9999998807907104,81.3563516332979,83.49253873513501,0.9999998807907104,86.6965022941709,78.39346484594348,0.9999995231628418,84.37362506637659,76.32899595938261,0.9999998807907104,60.42341547498482,66.88498578572477,0.9999989867210388
28,114.507583347702,102.49754218037512,1.0,110.70649009578547,101.23210709821362,1.0,81.82778951038517,84.15307852569074,0.9999997615814209,87.2450900340791,78.94198552917908,0.9999998807907104,86.03138889958495,75.49602911037911,0.9999999403953552,62.56340771875045,65.40228998770132,0.9999998807907104
29,113.56220993182913,101.96499314856244,1.0,110.11771755821123,99.59273621706839,1.0,80.7228933031122,83.50403299988693,0.9999997615814209,88.01152011529213,78.24495537490536,0.9999998211860657,86.55185747585215,75.43205324264079,0.9999999403953552,63.68783547639664,64.67273124129858,0.9999997019767761
30,115.75529647265735,98.89805814422341,1.0,112.12074114460047,98.15609500561638,1.0,82.35658862342703,83.32019644667648,0.9999998211860657,88.41719798264226,77.56839353580271,0.9999998211860657,86.80931035399341,74.95186669036173,0.9999999403953552,63.4264492039902,64.885539285509,0.9999997615814209
31,117.52274062759179,95.94798200962666,1.0,113.52391262087795,95.63434880264806,1.0,80.93695157516294,83.7812537009965,0.9999999403953552,87.8055754576557,76.83600821302555,1.0,86.44752637832558,74.88088084735362,1.0,63.063591577902166,65.18783751483296,0.9999998807907104
32,115.22530906131296,101.28239130255716,1.0,112.31892203783612,100.1992859479798,0.9999999403953552,80.93074167862794,85.07955385318104,0.9999998807907104,88.84328808946607,77.66586230397017,0.9999998211860657,87.16189032464267,75.84301633603395,1.0,63.671398789411015,65.18018084041542,0.9999999403953552
33,115.01199741942145,103.23309694071511,1.0,111.99433390414993,101.33796328836675,0.9999998807907104,82.038228805294,83.87846822866626,1.0,89.28304750449088,78.77558361285529,0.9999997615814209,87.72483330724604,76.42285554792485,1.0,63.94055000449708,65.371498267249,0.9999998807907104
34,116.03386829973692,103.3540245654716,1.0,112.73634376095384,101.1903553866173,1.0,83.30998738607381,84.02175641499034,1.0,89.83978804428234,78.69386081036787,0.9999996423721313,88.21687799537231,76.27590464881021,1.0,64.45900013718382,65.26368050848146,0.9999999403953552
35,117.57665052212796,102.3424758504175,1.0,114.1178253136015,100.40190434751626,1.0,84.0841201551849,83.24770111597101,0.9999998807907104,90.25815238424943,78.17619383667716,0.9999974966049194,88.43868190900066,75.93011046373783,0.9999998807907104,64.68748780293717,65.35990930369748,1.0
36,114.60395798228498,101.16786617515811,1.0,111.4961274814243,99.58924349306734,1.0,84.05108270467635,83.53064794409039,1.0,90.98481700278597,79.81722557665915,0.9999987483024597,88.94416378435622,77.40540924586747,0.9999998807907104,65.55286055432701,65.78502217102911,1.0
37,113.12552235862017,100.54696324972379,1.0,109.20422962225015,98.57738331840604,0.9999998807907104,79.53502103279939,83.06835036137659,1.0,90.58753811994542,77.4097480913046,0.9999960660934448,88.71897324915544,75.47369323860767,0.9999996423721313,66.63509151543511,64.61984692230688,1.0
