scorer,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,162.0856475830078,143.01116943359375,0.9999997615814209,166.42971801757812,144.5896759033203,0.9999996423721313,164.40292358398438,179.62330627441406,0.9999988079071045,163.44805908203125,182.5569610595703,0.9999915361404419,162.13516235351562,187.04476928710938,0.9999871253967285,144.1601104736328,218.45420837402344,0.9999998807907104
1,161.99789267717773,142.71088302564263,0.9999998807907104,166.34954121212937,144.45173037221073,0.9999992251396179,164.37994910116217,179.54657836815363,0.9999998807907104,163.33473336550054,182.2610637784656,1.0,162.06630127298612,186.87867112073158,0.9999999403953552,144.12805532100697,218.08907540273805,1.0
2,164.02998289482485,138.57559647215695,0.9999998807907104,169.07548061662865,140.28868370244797,0.9999995827674866,165.45466441464066,176.30337203985266,0.9999995231628418,163.44644913540446,182.04789365545594,0.9999999403953552,161.5335690790073,186.94052861313355,1.0,143.20516272534212,218.19300939295812,1.0
3,167.801140282138,135.28709911452623,0.9999998807907104,171.69639338349384,137.54153937234182,0.9999997615814209,168.34013640396844,176.4656988236934,0.9999975562095642,166.67959585999245,182.77501840261743,1.0,164.20480286575827,187.2360290153673,0.9999999403953552,143.57213096169335,217.83448118518004,1.0
4,171.5824224717096,133.05551508077806,0.9999997615814209,174.0744202816748,135.82281014094744,0.9999997615814209,168.30879609692602,175.18214977683135,0.9999957084655762,167.15866824377056,181.43373374381164,1.0,164.82313352941785,185.85290739956028,0.9999998807907104,145.32433003837156,217.08164080186833,1.0
5,174.97623493375997,131.81293035752822,0.9999998807907104,177.73649395070905,134.900438225864,0.9999999403953552,168.349256189882,173.75599376663013,0.9999856948852539,166.94052234751507,180.51932966225678,1.0,164.37069555066446,184.8207052754758,0.9999997615814209,147.22001163476122,216.5212237847633,1.0
6,173.03147829406834,130.78241431163212,0.9999998807907104,172.91049557403267,134.07478182503172,0.9999994039535522,169.86238432045818,174.44914585773247,0.9999901652336121,167.8530935024711,179.77502844133335,0.9999998211860657,165.51069608325335,183.82295724615233,0.9999994039535522,149.06457831194467,215.9341831993356,1.0
7,170.85965594206297,130.92019431739666,0.9999998807907104,172.39449396929427,134.50917805492807,0.9999997019767761,168.26066383559677,173.21726137480877,0.9999983310699463,167.32567279389778,179.57459186448492,0.9999998807907104,165.2481986999528,184.01871554568743,0.9999997615814209,146.34765080269017,214.73739576155236,1.0
8,166.4624348847114,131.01689692440192,0.9999989867210388,167.4416705018948,134.4888652033608,0.9999998807907104,168.21342211451255,174.32353161790374,0.9999991655349731,168.07623620776565,179.38820209385563,0.9999998211860657,165.96673484162153,183.3408679219463,0.9999997615814209,146.58500457304874,213.77420513554108,1.0
9,162.74244450436532,129.83809273048195,0.9999998211860657,166.18454557701284,132.7418691513179,0.9999997615814209,168.23114772643078,172.14222157735963,0.9999994039535522,167.65802185194718,178.40196888724626,0.9999998211860657,165.91940769936457,182.37719831438477,0.9999997615814209,147.36897581567482,213.23179926926946,1.0
10,162.3833698899981,128.04204855921236,0.999999463558197,166.50074151927052,130.6395184365343,0.9999995827674866,167.53064988770726,170.0311896735165,0.999995231628418,169.7524745047723,177.3856338774021,0.9999995827674866,167.70089175828076,180.67293629639863,0.9999990463256836,147.64069388565457,212.0538046595574,0.9999999403953552
11,160.37286779962562,127.47655363889945,0.9999990463256836,162.87852376875244,130.4719011925617,0.9999997615814209,169.07607831141084,172.61897831470043,0.999994158744812,170.727763385189,177.05096492530544,0.9999990463256836,169.25263670743163,180.7129242462194,0.999998927116394,151.17063508193817,212.37961315885516,0.9999999403953552
12,154.68601345339778,127.15295502419136,0.9999994039535522,158.0281831995394,129.65849046802933,0.9999998807907104,168.76947620066656,167.54350612806456,0.9999912977218628,172.98832131366595,174.70008512009625,0.9999995231628418,172.4381021528859,178.50812362208868,0.9999994039535522,155.66217211966676,212.56168558415087,0.9999997615814209
13,151.87284722406812,127.27624789967504,0.9999990463256836,156.30990567516608,129.67000516791927,0.9999996423721313,169.49626408242742,167.57664980430164,0.9991835951805115,175.44625485985733,172.7278129262122,0.9999994039535522,175.3369606888076,176.41465714978082,0.9999995231628418,156.6317347584755,210.8380798524173,0.9999999403953552
14,151.70302337084132,127.04160181820208,0.9999995231628418,156.21697155086235,129.31836700057556,0.999998152256012,169.75157139075532,163.44149772602728,0.9999918937683105,173.80375572343257,170.22306761403956,0.999998927116394,171.52591794672503,172.42391343169422,0.9999988079071045,160.2733530264069,208.59728669690665,0.9999999403953552
15,150.96392370122965,125.38414383137916,0.9999988079071045,154.44253016686895,127.42721618038702,0.9999978542327881,168.0235439379135,164.23586796967297,0.9999380111694336,178.29106269625743,169.58730647211615,0.9999997019767761,177.24515589927202,171.57855770751874,0.999999463558197,159.60253956118424,206.97881566484978,0.9999998807907104
16,150.37686784068816,123.28967656173776,0.9999997019767761,154.53063566587036,125.05213863735628,0.9999982118606567,168.31919746728997,162.2747283679887,0.9999616742134094,178.4537163099917,168.99375158300444,0.9999997615814209,177.3302227039328,171.3651452571163,0.9999988079071045,156.36914961626582,204.68020083041534,0.9999997615814209
17,149.64426968887994,122.47084273490101,0.9999998807907104,153.1728758632576,124.11513971759646,0.999998927116394,168.19925242297523,161.16932748996726,0.999995231628418,178.17854204389312,168.45425523522255,0.9999999403953552,177.20291554377553,171.06438581677233,0.9999985098838806,158.69473939441977,205.17188134630217,0.9999998211860657
18,149.22995987906864,120.62533264592868,0.9999997615814209,152.93981263159577,122.25854535769908,0.9999997615814209,166.14147261624962,159.17836307948056,0.9999985098838806,177.34349038913555,166.93441218752264,0.9999977350234985,176.3238572027895,170.11365307946195,0.9999992251396179,160.14717104876013,204.6077507687657,0.9999966621398926
19,149.08557377779653,117.3129932831741,0.9999997615814209,152.02179945275444,118.73243620638075,0.9999996423721313,168.10390042176653,153.6608475650263,0.9999990463256836,175.32069528804678,163.19434812882818,0.9999996423721313,175.2884356229369,165.80760508240732,0.9999996423721313,166.46610450851517,202.75732837849986,0.9999997615814209
20,147.78008917856545,114.13575869337001,0.9999998807907104,151.881771523021,115.91434773363473,0.9999986886978149,167.5123879119183,154.46847787568157,0.9999977350234985,174.93032266570873,159.9946587630638,0.9999986290931702,175.64850848789098,162.30985661290075,0.9999995827674866,164.97120452142104,200.0381326811672,0.9999967813491821
21,147.7409975025959,111.74531163321105,0.9999997615814209,151.99939097729188,113.78824569468497,0.9999991655349731,166.32654452814967,150.86594515338567,0.9999963641166687,172.53057084996777,156.49685085230698,0.9999969601631165,173.20238061082864,158.37326366498343,0.9999991655349731,167.64528267050906,199.4024260721898,0.9999995231628418
22,147.14187888673257,110.48745612141158,0.9999988079071045,151.05192419319695,113.08199935085155,0.9999992847442627,166.87333833202104,149.6460323620522,0.9999999403953552,171.22319635427277,154.47955334648768,0.9999998807907104,172.7346662638233,156.3251009347423,0.9999850988388062,172.11015148436684,198.02832171130544,0.9999999403953552
23,145.47144908008033,110.12555660783008,0.9999990463256836,149.5128578727193,112.87732678176245,0.9999982118606567,164.02581901830038,150.96798357617126,0.9999555349349976,168.3422503846735,154.3048836200023,0.999991774559021,169.47076285306554,157.1771211257455,0.999997079372406,175.90920017938535,196.86606946616251,0.9999999403953552
24,145.0871377991946,109.887495185628,0.9999991655349731,149.80548612951964,112.95028209866167,0.9999992847442627,166.6715793394084,148.2262512102102,0.9999959468841553,169.49836696884918,152.62738191787915,0.9999984502792358,171.16202997714436,155.21784998702606,0.9999990463256836,175.9158686039073,195.21287823543759,0.9999998211860657
25,145.13541652812626,109.69689828311115,0.9999948143959045,149.06150313751837,113.10428747492674,0.9999958276748657,167.15536523557589,147.09746024176582,0.9998694658279419,170.58864039304956,151.85505149925132,0.9999992847442627,172.58978475352464,154.5857454483172,0.9999984502792358,176.4867543483136,194.9756764312542,0.9999995231628418
26,143.60538289292407,109.44477074241718,0.9999988079071045,146.8653381121104,112.84584511573006,0.9999984502792358,167.5934834271953,145.12882802028548,0.9999656677246094,171.40370342592936,150.58838773719896,0.999998927116394,172.32439178540704,153.35058031847086,0.999998927116394,177.0105553381826,192.8704193957791,0.9999995231628418
27,143.5474532724855,108.5551318011554,0.9999997019767761,147.38296299249404,111.7601874966417,0.9999995231628418,167.68774079537647,146.2991898955686,0.9999409914016724,171.40692534688878,150.15499477618866,0.9999986886978149,172.36123534878556,153.0168791181156,0.9999995231628418,177.44804614710097,191.50839674780315,0.9999967217445374
28,143.4651678663892,108.88669263703409,0.9999998807907104,147.57456273916225,111.84489105368885,0.9999994039535522,166.25601403748504,142.97975500638415,0.9948402643203735,173.11706858771333,147.76542204826885,0.9999992847442627,175.00357039404741,150.1164597151902,0.9999974966049194,178.46180582873404,188.95370358933556,0.9999982118606567
29,145.7658659295192,108.24906569303018,0.9999997615814209,150.2040842219768,111.00585619764018,0.9999995231628418,165.44012809370966,143.74665546090176,0.9818748235702515,175.12675489248443,143.29021876644475,0.9999986886978149,176.89891956500782,145.3007288005518,0.9999926090240479,180.93026167827438,185.78262082797934,0.9999959468841553
30,147.39634070665394,107.53614247824409,0.9999972581863403,149.90897329606474,110.82599828698108,0.9999986886978149,165.72591379748695,141.3263131168419,0.9984140396118164,172.8391538941057,138.4960684147339,0.9999970197677612,176.06514931287887,139.36394396512497,0.9999948740005493,184.16532798454193,177.14631284756592,0.9999995827674866
31,146.73684854715123,106.75437217609147,0.9999991655349731,148.32925126152938,110.8371868408218,0.9999979138374329,163.76550414370615,147.74300444459456,1.0,173.17072285790442,133.01255850539098,0.9999549388885498,175.53179492056267,132.5267575629288,0.9999892115592957,185.50230449439138,169.10809770664454,0.9999995827674866
32,149.06678077616377,107.09847138526439,0.9999992847442627,151.84097213374446,111.79761192979515,0.9999992847442627,165.94798175977618,143.36413341987327,0.9999998807907104,171.9945708400392,121.15215699673655,0.9999971389770508,173.84390572906213,119.28483819510129,0.9999994039535522,186.42775677568363,155.8908775824302,0.9999989867210388
33,149.41351393657317,108.06773893581358,0.9999998807907104,150.81028611048976,112.88121809336913,1.0,165.59080431007368,144.1682073094108,0.9999998807907104,167.40202139593003,111.42483245139044,0.9999998807907104,169.76326960917692,109.92210825428491,0.9999991655349731,183.68447173879093,142.99096183028803,0.9999995827674866
34,148.0712530193632,110.04165155171982,0.9999998807907104,150.33684842650501,114.80841580629126,0.9999995231628418,165.54513109192496,145.47241341380246,0.9999998211860657,166.38880943468087,103.51211153306801,0.9999998807907104,169.64618702328926,102.95741115764208,0.9999997615814209,185.7460799757169,133.401972953394,0.9999957084655762
35,148.82392058613857,110.60327114274583,0.9999993443489075,151.13920664915298,115.16292176267447,0.9999995231628418,165.18497325907953,144.75263647295026,0.9999995827674866,164.94308655604462,95.49899784682407,0.9999892115592957,167.91501513973918,94.85930112908518,0.9999891519546509,186.19564302140137,126.55418503973056,0.9997998476028442
