scorer,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,262.11639404296875,155.50111389160156,0.9999999403953552,266.7075500488281,156.04312133789062,0.9999997615814209,300.5606994628906,147.18345642089844,1.0,306.2613525390625,143.69081115722656,0.9999998807907104,310.0918273925781,140.47386169433594,0.9999997615814209,333.5812683105469,118.67161560058594,0.9999999403953552
1,262.1100739657295,155.43261287179456,1.0,266.702524376612,156.03524055159377,0.9999998807907104,300.5580687166881,147.18124265474452,1.0,306.25526190516723,143.68070228118518,1.0,310.0866753099739,140.46608291497122,0.9999998807907104,333.578416587684,118.66561710316616,0.9999998807907104
2,257.7182921811871,152.32984729253738,1.0,262.9774304705062,151.75857704404044,0.9999997615814209,298.91248337194895,149.00384819085136,1.0,305.72940202471835,144.2424782641512,1.0,310.63672816266967,142.1266939288111,0.9999998211860657,332.95790837699906,119.9596705104616,0.9999999403953552
3,259.6443219873644,151.9630224065226,1.0,263.2693649511022,152.2890444307142,0.9999995827674866,298.7877870883263,148.89388636703143,1.0,305.4240849003728,143.10931997163792,0.9999998807907104,309.22924599496156,140.11842855864265,0.9999999403953552,333.25363949499155,119.52031602968685,0.9999998807907104
4,259.07790274901373,152.66433983365363,1.0,264.35613060532614,152.11908506367664,0.9999998807907104,298.82388900123294,148.53226970384668,1.0,303.12905345122954,143.5201480045682,1.0,308.6779073699448,140.59003622839418,0.9999998807907104,332.5880102067511,120.34617941701329,1.0
5,254.79460143136794,150.79369437689598,1.0,258.07858994443507,152.35605717776596,1.0,295.7538969710223,149.35591013198706,1.0,298.85082168694873,145.1937224561098,1.0,304.6051685736187,142.0479840190919,0.9999998807907104,331.6644039510152,122.77335419627946,1.0
6,254.62779684470163,152.78147832618964,1.0,258.9800723165682,152.25705225026582,0.9999999403953552,293.4444781074059,152.23264791916498,1.0,297.35675668665806,147.15613633982656,1.0,302.5148918499627,145.83748345937687,0.9999998807907104,329.4589310683134,128.01817486922866,0.9999998807907104
7,251.46739049697814,152.854997070976,1.0,256.000655424656,153.15805121673807,0.9999998807907104,292.0204266827732,152.0309192575553,1.0,296.9293015997416,145.80976753160874,1.0,302.08983365484556,144.29225166486222,1.0,329.60023735163674,127.07120575385304,0.9999998807907104
8,253.36511753084446,155.3351894081228,1.0,258.3604562821671,155.81688804766026,0.9999999403953552,291.91049076409246,151.65258563765403,1.0,296.79672538221223,145.9384165478986,1.0,301.63213954807577,144.6153525405104,1.0,329.6013598786168,127.16666593174486,1.0
9,247.50058466600933,152.41477736618782,0.9999999403953552,250.8525458090648,152.7061356155846,0.9999999403953552,286.56664079782377,151.3698819962149,0.9999998807907104,293.07832102332134,146.37366631812722,1.0,297.8392821979396,144.7921391205989,0.9999998807907104,326.7447069523172,129.70860440681903,1.0
10,247.01997625190413,152.20261200072773,1.0,251.69943870540467,152.8390484773979,1.0,286.8991661405884,150.8651214599503,1.0,292.74344077674306,147.2007899534815,1.0,298.0733649495014,145.57215046105483,1.0,326.1718722783172,131.31979868320758,1.0
11,243.79055882375005,154.15073629573345,1.0,247.71954585305073,152.2872803856203,0.9999998807907104,282.2337816930182,152.67943355610393,1.0,289.07135413583126,148.0178382786219,1.0,294.2339907468256,146.9680832902197,1.0,324.51956261717316,134.6457236732029,1.0
12,243.61937830039986,150.81061264879764,1.0,246.72901300752295,151.61859764829262,1.0,281.67722969280464,152.85890830195592,1.0,288.6181402244282,147.64703263603576,1.0,293.5272768464828,146.42471710605045,0.9999999403953552,324.1670660354723,135.49286869889875,1.0
13,237.11797142872027,145.32068276611727,1.0,242.76430885611072,147.34376506273122,0.9999994039535522,279.2362416637963,154.32600669997413,1.0,282.72712630768626,151.75290579800358,1.0,287.7518673020292,150.89611912227736,0.9999998807907104,320.7520568247312,138.74568226938905,1.0
14,237.21896886321954,151.16094031910578,1.0,241.1315981807136,152.93655221893374,0.9999995827674866,277.7733927515849,153.78841467161297,1.0,282.62017579264347,149.99210263872382,1.0,288.3067949384907,149.2668401404844,1.0,319.1553987302333,138.14966705382952,1.0
15,236.67180209116407,149.65462307402584,1.0,240.82647990887273,151.17988789116254,0.9999997019767761,277.5220586245283,154.10786264879158,0.9999999403953552,281.551075979851,149.98773218376598,1.0,287.14614569123967,148.67293034252765,1.0,316.13297726502424,137.47070624276506,1.0
16,237.15562473981336,147.6913455605444,1.0,240.9994825818348,149.26581002825623,0.9999998807907104,276.0326934184428,156.61548198666512,0.9999998807907104,280.1292251364385,151.3767561405471,1.0,285.8816770888275,151.88629336941491,1.0,315.05002551239136,138.14317491106408,1.0
17,234.7080748045047,146.7382437107343,1.0,238.5211173821585,149.02895161405388,0.9999998807907104,273.8450593767021,155.1886378132758,0.9999999403953552,278.61411204521113,152.74444204395024,1.0,284.1417785609857,151.11316543139444,0.9999998807907104,313.1025349235841,138.04474402964885,1.0
18,231.70953355083313,147.66455476780112,1.0,235.19371814376504,149.81238459193725,1.0,270.53904433735727,154.99559469796938,1.0,277.0644337199886,151.69827609606003,1.0,282.84614115847734,152.57300793182498,1.0,311.60300187382313,141.11732440184906,1.0
19,230.40743414614795,149.97653737699798,0.9999998807907104,233.35400502821025,151.6458465214025,0.9999998807907104,269.84763388585543,156.23727159489493,1.0,276.06219903477574,153.52279684914748,1.0,280.8878301839262,152.97645232615935,1.0,310.5836721430607,143.0017737722212,1.0
20,232.32774935392519,151.34082709147123,1.0,235.37452296799736,151.71121676497444,0.9999998807907104,270.1285454183934,155.80263251018172,0.9999999403953552,276.69297135276815,151.89372576085816,1.0,281.5078985843195,152.25244811563311,0.9999999403953552,312.62810353283544,143.77681486014276,0.9999999403953552
21,231.21993203974606,144.73682092500337,0.9999998807907104,235.88285641472254,147.10953477389222,0.9999998807907104,269.3421409848121,155.5039182149619,1.0,275.72165589649876,152.2622062526001,1.0,280.67626389410077,151.65171409732557,0.9999998807907104,312.34906227922943,142.55356315181956,1.0
22,230.19543447155033,145.17056689303502,0.9999997615814209,233.5774045585563,147.2178698882352,0.9999997615814209,269.25506662527505,157.37172799141973,1.0,274.5108460545388,153.70901951702055,1.0,279.4284577655033,152.76978989563912,0.9999998807907104,309.0732130960489,144.94340051969522,1.0
23,229.12330732241398,144.09557801346736,0.9999998211860657,232.93206266679317,146.79270298895335,0.9999998807907104,269.0038908912469,159.14451249044188,0.9999998807907104,274.56601342370817,155.43220810485266,1.0,279.004486103201,154.1950685664839,1.0,307.77258087294166,145.01177158670683,1.0
24,230.1667229994715,144.93497567141762,1.0,232.9381902319943,148.28843777744095,0.9999998807907104,268.79899145573677,159.4310046712801,0.9999999403953552,274.54883335482714,155.01362321284978,1.0,279.0490089838267,153.97068304196324,1.0,307.6974083931871,144.873296038868,1.0
25,227.9300382639462,139.5908036249426,1.0,232.59448890550073,142.98807905241853,0.9999998807907104,265.8532714686603,157.17772898837327,1.0,271.9647199065113,153.0172740733646,0.9999999403953552,277.2359084126418,152.40008157157067,0.9999999403953552,308.23534858183194,144.9056273091157,1.0
26,229.98769932374947,137.98247619730196,0.9999998807907104,232.43032337314128,141.73140329366967,0.9999998807907104,266.37334149528306,160.9616604466961,0.9999998807907104,271.9831826346457,157.34062382876056,1.0,277.38377899986415,155.62076090372065,0.9999999403953552,307.2516099234663,145.44231621867883,1.0
27,230.6145492162169,140.62438377396091,1.0,233.4866087066461,144.2977022933848,1.0,268.5743289752602,157.36811342967664,0.9999998211860657,274.921624417134,153.6514401093738,1.0,279.5093133757631,153.4743004515083,1.0,308.31052386051647,146.24721764559123,1.0
28,232.54192129025395,146.78420631528553,0.9999998807907104,235.70383319313734,150.84543237409702,0.9999998807907104,268.6815751287826,155.7486149436039,1.0,275.35040719227703,153.53523339829994,1.0,279.330809247297,152.54996510754265,0.9999998807907104,311.40947566276725,145.41148084624672,1.0
29,228.52524050932755,145.11441539295976,0.9999992847442627,231.36388500727662,147.768148104315,0.9999995231628418,266.88249585743813,156.06024338826003,0.9999998807907104,272.4618059795738,152.81979271517366,0.9999998807907104,278.00742821971687,152.6771203611767,1.0,308.72606751535386,145.4853344151215,1.0
30,223.77462958608527,142.6107746617617,0.9999998807907104,229.09650498562561,144.65999522964478,0.9999999403953552,263.47534625832435,155.5073475373415,0.9999998807907104,269.13416319476386,153.20176110691696,1.0,274.6370742970814,152.74065330663595,1.0,307.0767939134079,146.50004650887564,1.0
31,225.52990740910792,141.08306408632143,1.0,229.65780340717808,144.473191028201,0.9999998807907104,263.4077898665969,156.2247608811611,1.0,269.30286784483775,153.7851816886018,1.0,274.5267261074521,153.40116618119214,1.0,306.0471899932621,146.3141548675572,1.0
32,225.1551947925229,141.22939005643184,0.9999998807907104,229.2331831452254,144.3219003295666,0.9999998807907104,262.1115277951031,156.91611998054145,1.0,268.31308050838334,154.1199404521842,1.0,273.694605252114,153.73134327410995,1.0,305.99573564733134,146.2369838532313,1.0
33,223.79417782654733,139.49732927436378,0.9999999403953552,228.48164503517268,142.12954129345292,0.9999998807907104,260.6346254554316,156.32869140399933,1.0,267.31194544728385,153.56260647728982,1.0,272.9325444217198,153.66836808431697,0.9999998807907104,306.386001632932,146.53938891177165,1.0
34,223.75272876365685,140.72345637635544,1.0,228.77247882500512,143.28570671209008,0.9999998807907104,260.4718175250955,154.9696502370179,1.0,265.9305056743164,151.61825545915872,1.0,271.5309923132887,150.69327836368547,1.0,305.78050338943336,146.72655295225556,1.0
35,227.3481032355866,138.24929977093714,1.0,231.70957543828303,141.71270708957906,1.0,261.6320482901671,156.00866738683402,1.0,267.45340078157943,151.0381506445815,1.0,272.2601655129781,150.07515949268654,1.0,306.39883918688895,147.2456598276477,1.0
36,228.73552675815833,137.21975828826265,1.0,231.10074177968875,142.09249102766344,1.0,261.4122302335779,158.3068210805349,1.0,267.13421842703553,152.54203930076665,1.0,272.8242898724669,150.94566729753055,1.0,306.2935802745528,146.6178355044306,1.0
37,223.79632082167825,142.516000891713,1.0,228.38137647879492,145.37577012856067,1.0,260.59665877387795,156.86619979978033,1.0,266.5807869478508,152.18699659950548,1.0,271.36765952474383,151.63472067124604,1.0,305.6639404917885,146.40015333835356,1.0
38,225.51742236198493,141.80019418587568,0.9999998807907104,229.1048643503385,145.26906846924226,1.0,261.8077387783279,157.0629400260682,1.0,267.3133355783124,151.26420802445205,1.0,272.32599246472074,150.213509562468,1.0,305.6160094210311,146.40150039108465,1.0
39,222.23244171659758,144.71308374216767,1.0,227.09059857221428,147.26130359212476,0.9999998807907104,261.909497382179,157.85344962071375,0.9999998807907104,266.3011615479754,154.0770661530114,1.0,272.0313774410399,152.8803039100743,1.0,304.71528133014624,146.31942212341158,1.0
