scorer,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,149.1459197998047,153.5483856201172,1.0,152.504638671875,152.37252807617188,0.9999998807907104,190.23756408691406,151.91995239257812,0.9999992847442627,195.1453857421875,150.25233459472656,1.0,201.14183044433594,149.69497680664062,0.9999997615814209,241.0402069091797,148.15621948242188,1.0
1,149.0863121364938,153.47161072625394,1.0,152.45953436756292,152.31316158074932,0.9999998211860657,190.21778067722389,151.88902055944973,0.9999991655349731,195.09241291218598,150.17843734778367,1.0,201.1166094354952,149.63477701333,0.9999997615814209,241.01811522265393,148.12460833487603,1.0
2,150.8271986053457,154.6514031728642,1.0,154.07938955774313,153.2888108692024,1.0,191.8090843037649,151.08656058469265,0.9999998807907104,195.09809033692216,150.53817291074654,1.0,200.80085929365322,149.8466003658715,0.9999997615814209,240.44293953446822,148.8533741414469,1.0
3,146.2616620846099,149.7748007247756,1.0,149.530432202909,150.3116542632176,1.0,189.16841505824675,152.56044311215192,0.9999998807907104,194.78358697074523,151.90447196931888,1.0,201.5889729774472,151.21199874980158,0.9999997615814209,238.07953658776256,148.26090183393978,1.0
4,147.4211046522335,149.94602329784362,1.0,150.31483084516057,150.56306050699862,0.9999999403953552,190.77131345516193,153.6094268190227,0.9999996423721313,197.40994734444672,152.72379412070785,1.0,201.4221039578598,155.29385635732993,0.9999999403953552,240.9871287094029,145.69168386432065,1.0
5,147.58042155003037,152.87123489174303,1.0,151.2813957930979,151.59883960212312,1.0,188.2268953620281,153.091719088255,1.0,189.96096472968406,151.6208278782996,1.0,196.28967810325264,149.66648849527598,1.0,234.36436985590797,143.27565758285706,1.0
6,147.73484889796185,144.86146317190483,1.0,150.87639244041006,147.193598855767,1.0,187.59879317417432,153.27322336265203,1.0,191.35627541486306,151.58168586254243,1.0,197.15802207229223,150.64678642014522,1.0,236.6615190707726,144.11382570978293,0.9999998807907104
7,143.32688480752438,150.42411032423945,1.0,147.3280999632264,151.5088524451859,1.0,186.48657348926235,152.86549030423845,1.0,191.0210560324722,150.87204366678372,1.0,195.4861367601936,151.0410399921559,0.9999999403953552,234.35123746009594,143.63192872945115,1.0
8,147.29334283057682,151.525727977915,1.0,150.24218815146648,152.57535362739455,1.0,186.54859436166277,154.4763064486059,1.0,191.557756463134,152.25865635205332,1.0,197.36847419191474,152.52640261437352,0.9999999403953552,236.22913739193342,142.40270813696844,1.0
9,147.43093593679373,146.2265847493905,1.0,150.77799628763705,147.83651184455383,1.0,187.767055835308,158.004129533902,0.9999998211860657,191.33093423208732,153.93983928950453,1.0,195.89128854553354,152.7436908283332,0.9999998807907104,235.4053313596046,144.50074374265867,1.0
10,144.40689882385445,151.1278632920169,1.0,147.50275447196924,152.44688540275567,1.0,186.12358564710655,154.2110948747837,0.9999996423721313,191.87623653617462,151.589531625997,1.0,197.8843668842818,151.74348606578266,0.9999997019767761,235.2748437959702,146.4858390025624,1.0
11,147.19651692007946,152.37716928670517,1.0,150.3860259901031,153.92844795125677,1.0,187.98186929211414,154.44014131408318,0.999999463558197,192.58720464907015,152.59526646154825,1.0,197.13483479839942,152.61113609795447,0.9999995827674866,236.68323797598498,144.30038587226488,1.0
12,147.82255234038513,146.8100464852529,1.0,150.88790329483294,148.57270426710852,1.0,187.83962055129922,155.41137032013285,0.9999997019767761,194.28847207140012,152.44805267332757,1.0,201.25755523853522,152.17854237215585,1.0,238.1712602753064,148.620815914535,1.0
13,143.9634932225639,150.26679298871045,1.0,147.68418773684712,150.55486185044668,1.0,185.31524078739022,154.88394417037577,0.9999983310699463,190.47774056130223,152.008892298486,1.0,193.4435170140773,153.46708112826082,1.0,234.53161591194564,149.7091078867232,1.0
14,147.02568792872557,147.2439704731647,1.0,149.67559923161878,149.01064405864136,1.0,185.43835431201427,154.20118713511556,0.9999997019767761,188.7272390209853,152.11742657843644,1.0,193.25280617255,152.25558298659965,1.0,233.64615420270127,149.95803331068072,1.0
15,142.18579175426015,152.53090315300176,1.0,146.8137115372785,154.09017812890306,1.0,186.39720783642966,157.10923419021464,0.9999974370002747,191.4396773013374,154.76737359890095,0.9999999403953552,195.1832012260101,154.76056368847787,1.0,234.2248904705127,149.84419834528484,1.0
16,146.24379939900354,147.69673791323237,1.0,148.9341570145977,148.66231200437116,1.0,184.44760830166524,155.86664019273172,0.9999998211860657,190.263397896556,152.97594507378722,1.0,195.27993386142964,153.59660117545866,0.9999997615814209,235.2010282728201,150.75680107490467,1.0
17,141.3156235748591,146.73495851716683,1.0,145.94449560523003,147.53286182795983,1.0,186.2450994671165,155.15560414741879,0.9999996423721313,194.08016341787467,150.35833646433412,1.0,201.20444922827335,151.1280070817673,0.9999998807907104,237.9268276287874,150.8528821614496,1.0
18,142.97221132086807,150.48057150061766,1.0,146.450177432194,152.03043443407418,1.0,187.00712819027694,153.30974331632416,0.9999994039535522,192.13421005177213,154.16781717078578,0.9999997615814209,196.03448362832745,154.64386826032697,0.9999996423721313,234.44370463650097,151.11923769813703,1.0
19,144.70998678222605,152.7195920184443,1.0,147.95770389920125,154.5947185847167,1.0,186.60916647724898,153.08097527920182,0.9999997615814209,190.88587810449508,151.0417910162435,0.9999999403953552,196.12653941339633,151.01655520501652,0.9999998211860657,233.46331636037567,151.07680431359512,1.0
20,145.09237291931356,151.65442065723198,1.0,149.3063966989772,152.55446595978702,0.9999999403953552,189.7677055922705,155.7891611094014,0.9999992251396179,198.57484829098433,156.36517749024546,0.9999998807907104,203.35484987753318,159.0804980508072,0.9999998211860657,239.46094317770434,151.22671949874538,1.0
21,150.1700248041342,157.88081636484867,1.0,153.35336757581914,158.16424700324836,0.9999998807907104,188.12462906700367,152.3157721126191,0.9999998807907104,189.47735623906271,150.5806832855667,1.0,194.5872725258517,148.4681240829515,0.9999998807907104,232.99314493152008,150.65544662342094,1.0
22,150.34590497792297,154.37332342413913,1.0,153.8566902035991,155.12275489593054,0.9999998807907104,188.89453389800096,151.93471286918202,0.9999997615814209,196.66067040892622,157.23563961280803,1.0,201.51358248665593,159.24545352098835,0.9999998807907104,236.95944801173349,136.9498208803491,1.0
23,152.55436280556734,156.53113657824807,1.0,156.1412058502361,156.3782593031542,0.9999998807907104,190.22284791676833,151.2215628450424,0.9999997615814209,194.54953295152225,150.5734815212019,1.0,200.13872827875377,150.69147952464843,0.9999997615814209,236.79537409829362,142.2533732956432,1.0
24,147.61460767654566,157.97272048204923,1.0,151.36264978358014,157.32727110804552,1.0,189.68965688001174,156.21360405659294,0.9999999403953552,195.6197295598415,154.88162867898168,1.0,200.64656750211867,155.82449803460304,0.9999998807907104,237.46574369721645,142.99529974321467,1.0
25,150.71705538835528,161.61800473405157,1.0,153.75884392056042,161.8523418550536,1.0,191.40468617920388,159.52151035211108,0.9999994039535522,196.1720832835622,160.18028796489006,0.9999997615814209,201.8710698629776,158.6268191175835,0.9999999403953552,236.8684432909814,145.8793006164888,1.0
26,149.61577654708123,165.49279639043274,1.0,151.8344575439415,163.21413311477545,1.0,186.60900152914093,163.33894527738877,1.0,189.05437170983276,163.97868863168048,0.9999998807907104,194.38226509260534,162.12906403592606,1.0,225.49396583541923,146.0689340764885,1.0
27,146.0388451261308,157.20143312360807,1.0,150.21972201237912,158.19873838447614,0.9999997615814209,187.54839504999507,164.0983680831844,0.9999994039535522,189.60349983737933,159.72175277202723,0.9999998807907104,195.30430954029228,159.20432223565328,0.9999998807907104,232.5406943809155,149.17437088859486,1.0
28,153.27537955637388,155.90055638280745,1.0,156.31392135923247,155.4680150467776,1.0,187.42288307171526,163.2490429025103,0.9999997615814209,192.12076008922872,159.14352496703543,0.9999999403953552,196.91921897027242,157.14654564695815,0.9999999403953552,233.02687718422797,150.5770481761033,1.0
29,151.05844035737164,162.59251435920453,1.0,154.72789183923243,162.54218991391735,1.0,188.97565177544277,166.51962470661763,0.9999964237213135,194.0145502477705,161.49268578933442,1.0,198.93572865919262,159.73199107843038,0.9999999403953552,232.99699343904166,149.9347996519261,1.0
30,155.23279990390546,154.76262204689118,1.0,159.1325416446287,155.07411520008264,1.0,191.85001528465105,158.4586690934828,0.9999991655349731,195.83182771267795,152.82327737398674,1.0,201.15016556524927,152.67255883940763,0.9999999403953552,240.52345834597736,147.31474985788253,1.0
31,154.8145981931928,158.48891079118636,1.0,158.30440589907698,157.13731974949314,0.9999998807907104,190.18393972681045,157.25428500084527,0.9999996423721313,194.8042773378312,153.80698009059608,1.0,200.6091740239223,154.08183939903373,1.0,239.37115531506163,145.65859374031612,1.0
32,154.39193978772107,162.9643766144303,1.0,156.6799573990818,161.2940692734152,1.0,188.42464684342028,158.42031178986718,1.0,191.42071121882802,154.96610252862928,0.9999998807907104,196.26055990455222,155.08250922658308,0.9999998807907104,235.68047151563832,147.01488545010096,1.0
33,156.1571350668589,155.27766402771562,1.0,160.71382281205138,156.13633753511243,1.0,195.5209309624678,161.80872916608536,1.0,201.77901482515628,158.00533249221303,0.9999997019767761,207.69818395196097,157.34313049418623,0.9999997615814209,240.96023953610273,143.33621145148146,1.0
34,154.34325370277045,156.83875270836592,1.0,158.43291101950192,157.13331054981586,1.0,193.01158186250697,161.84088534237716,0.9999998807907104,197.67159809063833,159.36211768597582,1.0,204.55359116208462,158.97965261247288,0.9999997615814209,239.62259313892153,144.90578658182645,1.0
35,154.49440348024447,155.59556267886614,1.0,157.4474063417016,157.36774205686936,0.9999999403953552,190.5030953831279,152.4452922887137,1.0,193.90643007735224,155.82344720362866,1.0,198.3980731137337,158.09611346100473,1.0,236.90826999447847,146.8217147925974,1.0
36,150.48974384946655,158.29103371232674,1.0,154.27828284840257,158.57712541964506,1.0,189.85053616369677,155.88178719648624,0.9999995231628418,191.25185106533178,152.0079775744103,0.9999999403953552,196.38321023367712,152.4473765363125,0.9999995231628418,234.99804539303182,145.3460611477984,1.0
37,158.72066802473375,166.84560103399923,1.0,160.9664487251431,165.04164803997628,0.9999998807907104,191.2722428532893,151.71730123602208,0.9999995231628418,196.90801735991582,150.4709814635232,1.0,201.82048920343095,149.72568755050594,1.0,240.59057815320546,145.98325631504775,1.0
38,158.74095466065367,157.81815790922812,1.0,162.90710169162278,158.12051050247413,1.0,197.38788532722347,153.26737593024157,0.9999999403953552,206.9443064499735,153.68841652035607,1.0,212.15377725720896,153.30645926829206,1.0,246.21034641011974,138.85999089307882,0.9999998807907104
39,158.15979544927092,157.35294831347477,1.0,162.463120114678,157.40911294896438,1.0,196.42932485758982,152.0241465871123,1.0,204.4517734215318,148.49937580583986,1.0,210.46330061876262,147.41785291747405,1.0,249.059741209493,145.7041097060275,0.9999999403953552
