scorer,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000,DLC_resnet50_CforSingleAug3shuffle1_750000
bodyparts,f1,f1,f1,f2,f2,f2,f3,f3,f3,m1,m1,m1,m2,m2,m2,m3,m3,m3
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,121.60061645507812,132.70880126953125,1.0,126.2974624633789,132.68551635742188,1.0,161.597412109375,121.5621109008789,0.9999998807907104,163.9503936767578,120.39521026611328,1.0,168.9938507080078,119.18782043457031,1.0,207.3063507080078,129.95947265625,1.0
1,121.5747377238763,132.69669487703783,1.0,126.27683671952465,132.67503660776435,1.0,161.59008332960815,121.55643927450988,0.9999998807907104,163.9368390157988,120.37767912511788,1.0,168.84352161216654,119.17473797247347,1.0,207.28791165353272,129.95097656706696,1.0
2,117.10268766766772,134.865819489149,1.0,121.61098028220499,134.81074057969113,1.0,155.26029112135961,126.02120246609731,1.0,160.84860912410625,123.43870130577668,1.0,164.7533920094084,122.73895320528302,1.0,202.53803240626064,131.2773734316611,0.9999999403953552
3,116.56988232321557,133.9503972362502,1.0,120.33665550675133,134.28107923389604,1.0,156.261677090457,125.25649929827226,0.9999998807907104,159.89576545458362,124.42091682260528,1.0,164.35025288512458,122.96541450786924,1.0,200.71177852276554,129.49400982625474,1.0
4,116.05570034414998,136.720589076778,1.0,119.965604416545,136.5874428021872,1.0,155.11836991441234,126.24022500667276,1.0,158.94350399329227,125.5406301905563,1.0,163.4180600106622,123.80309161305388,1.0,199.0862602046367,128.5803423111862,1.0
5,113.6021407287748,133.00970817522511,1.0,118.41359699354219,132.71816937758138,1.0,154.75797283247536,126.87680758086788,1.0,158.82728703918232,124.62462988296714,1.0,163.16604073408035,123.3007638798551,1.0,198.90571670740184,128.7171529333458,1.0
6,111.29368211517155,134.68270956186814,1.0,114.85128339103143,134.34668053032763,1.0,149.70264400073947,125.76815629511299,0.9999999403953552,153.2554624397155,124.3634089587455,1.0,159.51827232401115,124.48506378446446,1.0,193.88037344845674,128.06842557893026,1.0
7,113.98569393986703,132.6176962838822,1.0,118.98790368444986,132.9816901152765,1.0,153.22986961924556,128.19663401801782,1.0,156.95796136096527,125.82527798298717,1.0,160.78394092569908,124.2529641883868,1.0,195.5842481004303,127.30775779848526,1.0
8,110.84581924008522,131.10924223830432,1.0,114.2153976894411,130.97901821329623,1.0,147.01027030635765,127.00096684234174,0.9999998807907104,150.99076771607724,124.17090455571926,1.0,157.29420038991705,123.54738489582002,1.0,193.1648544304158,126.54777763675119,1.0
9,111.71985104837574,131.4593083003101,1.0,115.3246806843665,131.34599076130758,1.0,147.72072246947286,127.04671939360875,1.0,151.9655692653029,124.13155987966145,1.0,157.81008163535236,123.51824940626678,1.0,193.73942842880112,127.33482321539476,1.0
10,109.828655042985,136.70810681574292,1.0,112.49712053198598,135.69801781272056,1.0,144.6005991046959,128.4190865310597,1.0,148.9954366013849,125.598728365087,1.0,155.01159577197384,125.01322857852064,1.0,190.9053389043122,126.85285619495635,1.0
11,111.27060723354403,136.02590532870983,1.0,113.68292337454552,134.52510060899488,1.0,144.960718616337,127.48758289958766,1.0,148.51686741321276,125.13792210894252,1.0,153.95487123236072,124.27667745304304,1.0,189.17593065194797,128.99228343675009,1.0
12,110.53834900535333,144.03902370000495,1.0,113.0975258952063,142.54642030680205,1.0,144.73678831344225,128.38185901675178,1.0,148.90886578626692,126.11056901038299,1.0,154.7312835087831,125.49162367862716,1.0,189.09687938921644,128.95935926100952,1.0
13,109.690630291926,144.54572040946812,1.0,112.07911282857309,143.2984668277417,1.0,145.02396719462027,128.2033364534497,1.0,148.66134828379222,126.98204019912633,1.0,154.31507859148954,126.29282528291476,1.0,188.0745656537842,128.52385548533482,1.0
14,108.66208195939478,146.31523083534944,1.0,111.15902284080985,143.61171545050533,1.0,143.2771318851238,129.29528320696753,1.0,147.35009746972932,127.25844906187014,1.0,152.78720028869432,126.22374699502707,1.0,188.53589720186022,127.52503935940965,1.0
15,107.64565680694555,146.19444051850783,1.0,111.15019803233983,143.32396556393832,1.0,143.59696996567072,128.40912074682757,1.0,147.55676249131284,126.41140406586041,1.0,152.9213218170175,125.70626537184562,1.0,187.44529013199084,128.7341744570345,1.0
16,109.3276962215453,146.6349238652582,1.0,112.14204701377126,145.12153709457448,1.0,142.78782038895045,129.70111869275706,1.0,147.3382253524222,127.2652706066162,1.0,152.48760456262318,126.51270348597407,1.0,188.02147250008608,127.66397020351316,1.0
17,107.14778551821131,141.67590538783443,1.0,111.33159745575,142.515643136178,1.0,143.4321578614537,129.3920318893572,1.0,147.18635258379442,126.80953314958882,1.0,152.59163487104138,125.61415390040533,1.0,187.87685976878882,127.29091479221165,1.0
18,105.17371472259691,143.13037662071432,1.0,109.0658707026549,142.91552336373167,1.0,142.66911589684182,129.60459933143187,1.0,145.8253591119798,127.74967985560411,1.0,151.165989951726,126.39589241541505,1.0,187.52802160282027,126.77341567978598,1.0
19,103.57403806320195,147.29208019634376,1.0,107.51076968343075,145.05401810223609,1.0,141.48979133256512,130.6731289662515,1.0,145.16276504140527,128.0766936994208,1.0,150.7366351618379,126.50857422976081,1.0,186.77508809585996,126.31531330802873,1.0
20,105.40300290518634,146.8342501846194,1.0,108.29617261061226,144.10654219368342,1.0,141.51543581305359,130.50302809236587,1.0,144.91144519750247,127.31029617686468,1.0,150.33555834878527,126.00182002935821,1.0,185.37354054392978,125.43194428648992,1.0
21,104.88596056096326,145.4312900247696,1.0,107.98018194535648,142.9637095759709,1.0,141.63353527808343,131.1362047222297,1.0,144.7609306860431,127.95925617515694,1.0,150.27078632505766,126.29480318670517,1.0,184.59685549203212,124.6808001511149,1.0
22,105.58328611896326,140.62831925116924,1.0,109.16507269099455,139.59579132388316,1.0,142.11951030543835,130.47407384011754,1.0,144.45479737554055,127.79451501065847,1.0,149.9269559341103,126.06791935853481,1.0,184.3129169265227,124.33318959744705,1.0
23,104.79979146491357,141.7839724439926,1.0,108.4634802961106,140.6937154002673,1.0,142.3133178476012,130.78012610113964,1.0,144.81440228579118,127.659140920334,1.0,150.49774772779074,125.76814079104456,1.0,184.87034412288853,123.07026392830919,1.0
24,104.73968292524955,142.23024459509796,1.0,108.27126617713445,140.58973069158992,1.0,142.19939123308384,131.51427291073006,1.0,145.13055363858462,128.54253709131666,1.0,151.07344867052703,127.24583517056071,1.0,183.88902534956551,123.55950717865487,1.0
25,105.71393148513329,146.14300404920354,1.0,109.541579902843,144.26938836994887,1.0,141.8189439475994,130.72292915289174,1.0,145.57947853443054,129.64489963939565,1.0,150.5143052768113,127.70291458854919,1.0,183.97343910549347,123.33617433991331,1.0
26,104.98737162217543,143.3888908055771,1.0,108.25135123857537,142.284007190288,1.0,141.524496342536,131.56262452009622,1.0,145.77913593931802,130.0072900693325,1.0,151.00148020243935,128.431200605213,1.0,184.56675058936708,123.79169519867769,1.0
27,102.07357910296207,139.9347080232299,1.0,106.43558850459259,139.33330874674775,1.0,141.88329654620847,130.36378397036452,1.0,145.2630776143636,128.55588342158023,1.0,150.6064827990367,127.12441545824743,1.0,184.68030800305831,122.36594272333735,1.0
28,100.88014945828819,139.98730875232167,1.0,105.1907621193778,139.09942587632418,1.0,140.9011944793952,131.25770475744716,1.0,145.02191976316828,129.85800476777467,1.0,149.88436792475133,127.65080027318412,1.0,184.2796721258864,123.67128798977186,1.0
29,102.01111935651308,139.57288153441854,1.0,106.36724489251587,139.06970284342773,1.0,140.9397335828944,131.5031696258775,1.0,144.94913090708084,129.51389511275192,1.0,149.9756845067837,127.4045336018935,1.0,183.6948049726425,123.33643323796007,1.0
30,101.89729728859804,140.10805488722997,1.0,106.21787913990136,139.25602644236457,1.0,140.43224592222262,131.43010010422284,1.0,143.853318998281,128.8357085100805,1.0,149.31264501748706,127.19631886783478,1.0,183.5961575598862,123.60984722259101,1.0
31,102.30111721244016,141.23273400136563,1.0,106.35480843802675,139.71653645789158,1.0,141.9799979014632,133.5780849535715,1.0,146.28290533199439,131.565016832329,1.0,150.76791570982655,129.54297957836192,1.0,183.84178470669156,123.34632915037494,1.0
32,104.77551440323333,141.1745065745487,1.0,108.34674961882683,139.82438246095654,1.0,142.83160701536735,132.56083667973732,0.9999998807907104,146.03490751651387,131.46233663670313,1.0,150.4162973480949,129.53319284682937,1.0,183.65017054487078,123.25628959116888,1.0
33,104.45692519071615,143.6619799083469,1.0,108.04654006540358,142.74922499823336,1.0,142.67632110946053,134.39999269456027,1.0,145.9869682359714,133.07499907607087,1.0,151.20167682058957,130.8111031892592,1.0,183.67205331983604,123.4221166391995,1.0
34,103.15632115454417,141.49739437166392,1.0,107.12805894372131,140.6016027910014,1.0,142.14275535612705,132.99854873023642,1.0,146.30949419379152,130.97038496780402,1.0,150.71653775155391,129.3239410256411,1.0,183.62138298685113,123.36921451406752,1.0
35,101.39059710229624,139.88991701643417,1.0,106.09383952030741,138.83827561552485,1.0,141.76644464953185,132.02534827457754,1.0,145.42179810587592,130.39738479722266,1.0,150.4092076199191,128.96538369168667,1.0,184.21494146336488,123.76978300895956,1.0
36,100.73943094758846,143.70605918206343,1.0,104.76054477132065,141.71832576561303,1.0,141.1891523953433,130.90859166231652,1.0,144.5902625803745,129.23850805458005,1.0,150.23826470562236,128.2245703608068,1.0,184.13012910563828,122.65747246224915,1.0
37,99.63335779970114,138.10848223545824,1.0,103.9914352805629,138.06214345292872,1.0,141.09395355184404,131.63820031201269,1.0,144.72822856261854,129.8083411223717,1.0,149.64138035711085,127.6249423146706,1.0,184.31005503634682,123.41134964919358,1.0
38,100.57633888092867,137.63039932013118,1.0,104.840444022013,137.22576108689626,1.0,141.32624208954928,132.96750634266996,1.0,145.57166237945037,130.60625448829904,1.0,150.63489357426133,128.3732249586627,1.0,184.92382743411207,123.09432553112623,1.0
39,101.84364554281409,136.75751490039542,1.0,105.97799769329596,137.18185444898432,1.0,141.49708549673778,133.68115722187437,1.0,145.5505831310741,131.48932100558733,1.0,151.0894496882474,129.69417812322448,1.0,184.81581047083517,123.87882002114468,1.0
40,105.98931487448402,144.67638063968815,1.0,109.36480913926579,142.52719363004545,1.0,142.3976597137668,132.53056113288102,1.0,146.01050766989968,131.3465020949882,1.0,151.54577255250376,129.49545144594364,1.0,184.132504861956,123.50151602497476,1.0
41,109.38057214092906,150.162489943333,1.0,111.27805623051528,147.1548913272579,1.0,142.1677976061897,131.64801275833662,1.0,145.581913786279,131.49849146706038,1.0,151.15224818226537,129.66618213984657,1.0,184.0498919616427,123.39547268395091,1.0
42,106.54757699514582,147.3472731392431,1.0,109.94943349161508,146.08180327201123,1.0,141.68618057039785,133.22400373925512,1.0,145.35375016706953,132.30434773057453,1.0,150.79298738609853,130.132275325613,1.0,183.64004848800593,123.64249334864466,1.0
