arrow,x0,y0,x1,y1
0,830.0622951694198,497.2398617486815,426.8659774992916,458.65526585323636
1,824.9837342547149,504.78182501677895,434.97832745948926,442.7180550823424
2,823.9309819736828,513.7744732485545,438.9537777821333,430.6349027632627
3,819.3933248299251,518.8851266738594,442.5450925982061,415.59926092584084
4,815.1058661582738,524.1312351358341,441.1154210777755,405.7531642044437
5,812.3025812852092,532.0690786448743,437.6780635924549,394.55133799709705
6,801.38835394659,530.7663792924347,430.7892186134779,388.6073720935301
7,795.4607514958304,534.5642024115241,429.33447935654516,375.02620003240276
8,792.4164122609128,543.5586826227167,427.4746714011235,363.7528326285927
9,785.7076322534599,549.1092901459297,423.7423229833937,355.973110046079
10,786.3098895641558,557.3219323540197,421.4625317651137,343.75382809631014
11,783.8707717115111,567.6124987172269,427.47352053867695,332.1507572153792
12,778.7987640640066,574.6579064556203,432.38707083117987,320.1792340780913
13,779.9982991719074,584.6389040883539,435.3835789016127,310.2080952588858
14,776.1269474545428,591.7383192248187,440.0810636171011,299.99115988941554
15,766.9586847434082,592.3674197705765,446.1083449001737,292.06931142820827
16,759.7589482352098,594.5345317034378,453.5200501566818,283.00581876273395
17,747.4475881590716,589.5805857136825,458.4117393948415,270.8386813501958
18,730.5888228049522,579.4679119887222,461.80136611475837,259.63156662939264
19,722.3273656133201,577.2973148096715,471.0338278748155,252.96053825638762
20,710.5804572566431,574.2499220815586,477.767348239249,246.57223209784908
21,698.2115360556118,571.1123244737288,491.1012454136422,245.4963453713063
22,690.571783721061,571.5500341390406,500.8703424772159,249.97718383697838
23,680.8715340395679,571.4765125507075,513.4034155289376,253.3413878480899
24,672.7058634847871,571.6254213518536,523.4848598549538,248.66513082165181
25,664.0885988107198,573.6516426552657,527.9391840196157,236.7415441681504
26,654.0253098387092,573.7184984674792,534.0641759142349,225.25035736978188
27,646.4627889367289,574.7751211386544,536.942804818927,212.83073304239366
28,638.2540752135989,574.3697842356507,545.2848854029368,203.5496709530341
29,629.60608696491,573.4700229477326,551.3375689687508,199.1398964300484
30,621.3871221626836,575.3788553449722,568.3561618353007,206.74192822281879
31,614.2000815038109,576.3550454949591,580.8226539447631,208.26922723696867
32,607.0331730376945,578.1494728738534,593.5063547788156,208.18074779608008
33,598.9752241515532,581.3868206542891,610.8001322180768,212.89140470992436
34,588.7074624142925,580.8368417573657,620.4423536009518,207.68211043882724
35,581.5753684628946,584.2403185138082,629.5545489479305,202.10186512657117
36,575.2849812865173,586.2479752430147,636.4034522066931,192.06645186634842
37,566.4940981319623,586.6427522729846,641.4006008693328,184.68686468717254
38,558.9626385116892,591.9584519626043,652.840329713652,184.13454672043753
39,551.9081244966968,594.6621442642189,662.2246706114388,187.2466482848861
40,544.8964092552823,598.8026332873952,675.6541903897516,191.0407363323376
41,536.950116962111,603.7390362307116,683.636026884894,192.70791296238983
42,526.0182400040953,602.9659919072897,691.383898495102,193.19743796882298
43,519.6698012940997,605.1789190205589,698.3701890778898,194.46221970855206
44,512.4450024458835,603.254670792448,706.4630195357328,193.49773937180979
45,507.58913171974035,598.6339530920485,715.2601511845662,193.43968467040952
46,506.1115621704222,592.8394811497377,725.2876874334723,201.69189821551745
47,513.5585491330262,581.7874723145085,732.9536888451856,204.08498131767976
48,522.3566810817091,567.2436707308163,743.6651101191245,205.1965658031461
49,528.5360211584841,556.4011232505176,751.9431128344685,205.94324312830136
50,534.0761888228212,546.4137217425964,761.9975472573173,208.37802930769928
51,542.5778809642673,529.8489752871677,769.2444879497532,212.90148962120122
52,546.4271812105916,520.8607548097515,776.7543148549357,216.72245580834658
53,546.7342016278807,512.5258471451519,779.9506043098341,217.91127701163475
54,548.3154308535725,504.8323405398082,784.3716434812628,225.00355876957164
55,549.8644784272318,498.4682780263389,786.8475332387359,229.4169111320318
56,552.0765174881941,490.65819131706655,790.3213225214263,233.29532747947204
57,555.6706470551577,482.92038945798083,795.9793389129674,241.4562189511896
58,555.3455416792623,476.44869555505625,803.7412223096641,243.8140569098997
59,555.6465699199655,469.3641821374507,813.868491953349,245.36554249276867
60,557.3068751120113,462.8201174214427,823.0681921364317,250.3446622139826
61,555.2051389796294,454.5918063336509,827.1024828771704,255.3215977954815
62,555.414825453059,446.0566601318351,833.3286959306081,264.3907427806805
63,557.252739347686,441.1270542029314,834.9565986097818,273.6474878339843
64,557.2149778960521,432.4027486050026,835.2002452263681,282.85652829121267
65,557.3391140376531,425.66560485215064,837.0241838423088,295.03053575885144
66,558.554117003191,417.27400033399294,842.7877246081231,299.5216717598357
67,558.1954422606003,409.3573111428229,849.4093212814172,306.1081277341134
68,562.6193523372206,402.29232240448874,851.4222349207539,317.3357826982671
69,563.9677607070751,396.68668869558644,856.9339689707687,324.45854805117807
70,563.3589138101472,385.71043358534666,863.443071617158,332.8764018379818
71,564.6881689086158,377.65573405979796,876.0237688445021,333.27840110317425
72,565.7664063423476,371.0065629869392,872.7899558755475,347.577472684986
73,567.059036262121,361.2794756439461,870.8170460791835,360.49865210781184
74,573.1835494622024,355.3569370926604,865.0019347116875,377.21118891843554
75,576.5177344801883,348.8647517977337,864.6739270687289,388.65403400745004
76,580.8846582354034,342.3330224311592,861.8077067433347,400.3137881012695
77,584.3554730289395,334.74316959792435,861.9838017651164,413.2413457990108
78,584.2906557867839,323.9918980424459,867.4633825477416,415.7193167885576
79,590.8070008362776,319.96691267695,871.7971481260328,423.1567828435492
80,597.1618068152308,317.8145432361033,875.5952590456884,433.3444654543991
81,602.2846442364082,310.8958766379687,875.5003299111548,444.1218567752531
82,610.626906536092,306.5055551528094,875.1384443868282,457.1782611343538
83,613.8286487893481,300.6570943045335,877.0137486237963,463.1443038952708
84,615.0124245069902,289.53652262578606,879.3764469183214,465.26155284445065
85,621.1174592154739,283.93687323862366,885.5102294250469,464.1958882849979
86,621.1784794487515,272.76960665887304,888.3840386281099,463.54833430371394
87,621.8366990967469,263.1463281646028,899.7732357851513,448.2098774767333
88,625.6736715937054,258.543041082434,906.7942287719501,433.28076521424543
89,626.8205200274657,247.31938960849703,909.8991178587518,424.2755348593845
90,630.0152937260016,240.92494536379365,914.5879251800744,420.59715161389767
91,629.3911950428417,232.342004210364,918.6236944683864,410.4947135657568
92,626.3495716320233,222.51193519942782,919.861355174835,401.3463341277144
93,625.570713388959,217.24123497552984,916.8545839256923,390.427170039536
94,625.455153185267,210.3087931037304,908.2441796237207,373.0240682380924
95,623.2843262715345,201.493169150151,901.0760522629251,365.01508561152457
