arrow,x0,y0,x1,y1
0,984.4465346780163,488.29469120479416,914.4332243576755,419.33554933345675
1,953.2755529137244,467.0960004138609,910.1916232757217,413.5576429846973
2,950.4240935149976,481.2481632785909,937.5680263453269,430.81084833142614
3,949.5309606293216,491.4416841677295,941.941752086911,439.1691637942116
4,947.2993166730475,508.5021196551209,944.5223066805792,447.35396258232424
5,947.9805635483561,521.0005797556202,948.7769533540007,455.69361241113154
6,946.2232086628981,533.204829604963,950.3997928061408,464.23437776643027
7,946.1174515722596,539.4521691571498,952.478829349858,473.95480611180034
8,945.6325561517903,554.7077008954665,953.1149330583803,489.1848279005726
9,944.2783025955612,569.0481391065601,952.2077334169205,502.2028400437903
10,944.0835997071423,577.3194346727796,952.5502904020561,518.0514947622543
11,940.8726515768836,589.6184715407079,950.4750404190934,530.9582835227227
12,940.6428725378443,598.822177927235,948.1240570863738,547.9645233688184
13,938.6346941927237,610.0869962600584,947.1121938228877,558.676750511055
14,938.4526226227846,619.2858409332325,945.6593438594103,569.6788363728948
15,937.9294053467866,629.6337398187949,944.6888289339078,579.1537772931291
16,934.5676900720458,635.6534482286138,940.6527412105963,593.0553804331505
17,932.4816811839979,645.521694750262,936.8122600683141,600.2865414129474
18,925.4562568878106,653.7303283377563,934.6848267189612,612.9881801382618
19,921.1568776801856,662.43755699654,933.2631639179523,622.6878593657672
20,912.0278828801177,665.3261291770687,932.6264732530765,631.0901659879045
21,907.8656191609715,674.7450053073445,930.9853069517939,640.7732427361748
22,902.8382427540802,683.2338548463636,928.892985690787,646.4709390206206
23,892.3077046421394,688.1036077749775,923.1795321353654,656.9500474512055
24,893.6024643141501,700.9295115794955,918.1035354627593,663.1344340695634
25,888.8207301640282,705.6046849439547,911.5778990148992,668.4081132456342
26,881.009528788067,710.789763711487,904.0893996551748,673.2101976160629
27,877.954614826621,718.1265841402578,900.3491578675927,680.7930127160282
28,867.2230067731066,720.2446326998222,895.4048973548965,689.5540730771557
29,863.8633550375895,730.7973537875147,893.2285993326217,698.8642739089198
30,856.6664690673904,732.0079271182441,887.1570279763248,707.1267069327316
31,836.6532411432969,718.6453369225425,883.8332939190151,714.81395491962
32,824.3101096392439,717.9284789593825,880.4656032435289,718.0038956917556
33,825.5240904438083,730.4934406471442,875.2064932064418,720.6861432084197
34,819.7244991311873,732.1935636918342,872.4069919324027,725.2908697161394
35,813.6653279321476,732.7252138508953,868.1854405008684,728.9613079283095
36,809.7845694243047,734.1576212955717,861.8596518157143,729.2910482494316
37,803.1437235419291,737.7868163450751,856.4191012115245,729.17795809508
38,802.7903237947678,743.2625620940026,853.1747486168734,730.7803280816131
39,803.8415869856342,746.1300935584032,852.3079301465125,732.2322530619255
40,800.2332601605237,743.2219436524147,848.9509385461915,728.7542077541182
41,799.0113113103539,744.0445902003909,846.5495762256287,726.4282808216674
42,800.7926612566464,748.448406076317,842.9483461244902,724.5780376488767
43,798.4633242879947,749.345134751074,835.2279003624456,721.3007482988821
44,795.9188391992774,750.026247154385,833.0842556526686,723.4302169640063
45,793.6661596488857,747.3547922541516,829.875793793287,722.5432614996921
46,792.1444700714784,751.5224611187346,826.4210742431881,722.4971022853221
47,790.1912110538779,751.8144277803127,825.9005497840785,724.7348762331696
48,782.2714116384926,747.367832205712,827.9123275280516,723.9081703079354
49,789.7932665250098,734.6858985072033,823.8143424147402,723.7115825222917
50,775.8534566191262,738.9077606134211,821.8809344739512,727.9927456113057
51,775.1815629729515,739.135857242999,821.4834832655933,727.7930926932398
52,775.2760702345943,741.048870196669,822.7414581208267,726.8909410938716
