arrow,x0,y0,x1,y1
0,525.3001245684542,405.34043759488253,557.8723180457723,328.4951027829327
1,541.5657971695566,374.13096905136956,555.6290871627485,330.5937990912894
2,533.0592406097098,372.326287070452,555.5630707478165,323.32904614845813
3,531.0189699029605,374.8656992620486,552.5239247186139,326.4192455679606
4,533.475183468244,387.1807578837471,548.1241660706276,333.9613116431462
5,532.7578457810561,389.8053841408444,547.6678727291389,335.54916079483905
6,524.3298999427323,380.5898592225882,547.7866399456195,337.72755428476
7,514.3540979217753,371.7546731052264,545.6414391207653,338.26236301606895
8,511.44216005915246,369.4001049597417,544.8762249266941,338.78234103944527
9,510.8603329191242,368.35821890761684,545.3050227448406,339.8126762733486
10,508.4990232337653,365.37156881615624,545.2321783304961,340.4375571282394
11,507.6023174808159,363.162393535858,545.792520804745,340.4458664207128
12,507.58153533306853,363.973406695984,546.3690118448823,340.6700251610047
13,509.15579313697697,365.43711411818526,544.0744921572248,339.9533829653216
14,513.2956270595637,369.3953792630095,543.5519199761509,339.3486506720573
15,521.2947194084311,377.74746132701455,541.8077769233695,336.9070753363731
16,527.0273275606432,385.1387784848731,540.7471678080328,334.71847794854654
17,529.2484681627477,388.40140542910655,541.7028825852726,335.83854245802735
18,531.2354963773281,391.8920599025174,540.1849203329806,335.6398504362157
19,536.1944624562358,397.80617120587806,539.4661094316888,335.0589636466333
20,538.4826388476548,401.3720224362776,539.2055226272776,337.5851256401784
21,538.8710392942579,410.3514006620422,539.5280585811224,343.40528996651943
22,532.3692636018732,407.9722860448558,537.5397618032463,347.33969509941716
23,530.1307993252468,410.22491358001406,536.3950963546832,350.627315618199
24,532.467409982427,417.21749272699947,537.6299173202295,356.52537619218754
25,535.6830549580594,423.51018058647855,540.5200411067738,364.2580132343508
26,535.5721352198237,425.7989608886217,540.3117981533467,366.9349333492976
27,532.7907606424078,425.12743348152316,538.5696581899292,366.3409961017371
28,527.5121218908927,423.1504619173945,536.4472032774249,367.74982621102924
29,523.3974651215639,426.20488720683346,537.759930553938,376.9410798022994
30,526.071144604533,434.77253949948783,536.171099926051,379.6223853606255
31,526.5810369885539,434.56100766380104,536.6529570020743,381.11922770719804
32,516.6653174057033,433.4654623420849,534.7787892721536,387.2722296194953
33,508.8961806472931,431.2437966552813,534.4380140235494,390.92742035067516
34,508.65630580070945,433.4234057899629,536.5692439371015,397.90942617493823
35,510.9890139704466,437.26564173049195,539.6795152157093,403.17122069738195
36,502.66069153560403,431.2527313599428,539.2955408673035,404.9947477929155
37,493.61918319821876,427.38850470963763,537.9455390867303,405.4503864731168
38,489.27684084229196,427.23875807839676,533.1961046272233,405.96704418251477
39,494.20040856109625,434.7623916829728,531.1275708426367,406.4454540478572
40,497.4534196194512,440.16481239381966,531.6499643098889,405.20470335488153
41,496.4259038228363,442.70879557729114,526.826574469963,406.70322475567554
42,491.6741992441623,442.744283435169,519.5435408370832,408.0771195636738
43,489.6816613813233,446.89312707867447,513.5398875025494,406.3250863239885
44,496.3259981163761,455.9156123605054,510.62616629349026,407.13766563841284
45,500.0040894612314,462.39095725602994,506.2471957649489,404.92735620973536
46,494.57553506967633,463.5598485975204,504.19759613661665,407.96009811704505
47,486.9989174587615,458.85909540809655,502.4782873816488,409.88960838267843
48,487.61783052644836,462.684358672415,501.96212911236387,411.0255220063853
49,491.35680173334583,473.6430172860032,498.8535459681045,413.5825466422524
50,491.55662512376665,479.42467958430797,497.2106556290311,418.9244554789652
51,489.24402188359045,477.1791439227486,497.57469927226737,420.01781938694273
52,486.1851517698632,478.0602033117795,504.68208099390677,429.21621561719434
53,484.2314484404477,481.12125778903464,504.98732933284845,436.28909281310433
54,487.97552248361643,489.05799376515,502.94733129884173,445.26952027138555
55,489.21387622293946,494.37154890478183,500.29188108728795,444.09184657159386
56,486.38541952741514,499.9068882422171,495.5967799309551,447.9632743945197
57,481.45399113795946,499.26609305582696,488.71376898384256,444.93298090873
58,480.4088868074339,504.412732266865,483.44214328336227,444.9424924085118
59,485.5976151098328,510.84529196857557,480.7895739101222,446.80912578501557
60,487.52402282634546,515.5431435063016,479.44117788327674,450.10041144799095
61,484.78728727846453,519.2237302329028,477.09661644080694,454.3819488635914
62,480.4726990093011,520.6112022608083,474.53121280883244,458.073370693237
63,479.3980529776921,523.5964532825541,472.1849445458123,462.0067501651216
64,482.3300796250264,528.8382165773071,474.08781886825994,468.4856021826278
65,482.9258383046477,534.7691073632643,475.0945236378318,470.62308472301186
66,477.51327318819585,535.7115394564838,478.1787113900546,475.71542778131845
67,473.8214173941336,535.7908800712066,478.240086524653,479.8810217112402
68,473.33156613369226,538.0772265851184,479.08325616886907,484.6677377276242
69,477.289168861417,536.0897492605877,480.4695633862697,486.4842018927351
70,480.6027117098067,543.3643844247471,480.60963608728986,490.06775373540194
71,479.8295772827506,546.7621697366312,481.007597738659,494.4661594318918
72,477.9080431197917,548.1164110793051,481.23737858507377,497.1853155629074
73,477.22333505174146,548.3738203556906,481.8685845615871,498.72973027015934
74,480.57548464673897,556.7918355413859,479.97947692177394,507.36687629162583
75,482.1612696890311,560.2837092706721,480.4970824440159,512.157187784908
76,477.7135206406217,560.6724852638617,480.6191356620799,511.1957116823262
77,475.24465406023603,564.391405909157,480.04980051717234,517.1230062298096
78,478.1997351319675,569.744691303792,476.3098275867056,521.143054991472
79,481.39985197314286,569.2572379842604,472.870638931306,517.4426304466817
80,482.1096861705676,577.2816804422592,472.8415271333084,525.7062898878496
81,477.22142174356316,582.712493091681,473.14887012546654,528.7281025718071
82,475.24012770824464,586.8768810670415,471.8093932505812,533.2749517796569
